Facility Location Problem Instance
Number of facilities: 5
Number of customers: 8
Grid size: 15x15
Facilities coordinates (x, y):
13, 11
6, 10
4, 1
4, 3
5, 5
Customers coordinates (x, y):
5, 8
9, 12
12, 8
2, 0
6, 13
13, 6
0, 8
0, 3
Distances between facilities and customers:
Facility 0 to Customer 0: 8.54
Facility 0 to Customer 1: 4.12
Facility 0 to Customer 2: 3.16
Facility 0 to Customer 3: 15.56
Facility 0 to Customer 4: 7.28
Facility 0 to Customer 5: 5.00
Facility 0 to Customer 6: 13.34
Facility 0 to Customer 7: 15.26
Facility 1 to Customer 0: 2.24
Facility 1 to Customer 1: 3.61
Facility 1 to Customer 2: 6.32
Facility 1 to Customer 3: 10.77
Facility 1 to Customer 4: 3.00
Facility 1 to Customer 5: 8.06
Facility 1 to Customer 6: 6.32
Facility 1 to Customer 7: 9.22
Facility 2 to Customer 0: 7.07
Facility 2 to Customer 1: 12.08
Facility 2 to Customer 2: 10.63
Facility 2 to Customer 3: 2.24
Facility 2 to Customer 4: 12.17
Facility 2 to Customer 5: 10.30
Facility 2 to Customer 6: 8.06
Facility 2 to Customer 7: 4.47
Facility 3 to Customer 0: 5.10
Facility 3 to Customer 1: 10.30
Facility 3 to Customer 2: 9.43
Facility 3 to Customer 3: 3.61
Facility 3 to Customer 4: 10.20
Facility 3 to Customer 5: 9.49
Facility 3 to Customer 6: 6.40
Facility 3 to Customer 7: 4.00
Facility 4 to Customer 0: 3.00
Facility 4 to Customer 1: 8.06
Facility 4 to Customer 2: 7.62
Facility 4 to Customer 3: 5.83
Facility 4 to Customer 4: 8.06
Facility 4 to Customer 5: 8.06
Facility 4 to Customer 6: 5.83
Facility 4 to Customer 7: 5.39
Facilities fixed costs:
Facility 0: 10
Facility 1: 13
Facility 2: 14
Facility 3: 10
Facility 4: 12
Drone operational costs (S-type drones):
Facility 0 to Customer 0: 5
Facility 0 to Customer 1: 3
Facility 0 to Customer 2: 3
Facility 0 to Customer 3: 6
Facility 0 to Customer 4: 2
Facility 0 to Customer 5: 3
Facility 0 to Customer 6: 3
Facility 0 to Customer 7: 3
Facility 1 to Customer 0: 7
Facility 1 to Customer 1: 1
Facility 1 to Customer 2: 8
Facility 1 to Customer 3: 5
Facility 1 to Customer 4: 9
Facility 1 to Customer 5: 4
Facility 1 to Customer 6: 9
Facility 1 to Customer 7: 9
Facility 2 to Customer 0: 8
Facility 2 to Customer 1: 5
Facility 2 to Customer 2: 3
Facility 2 to Customer 3: 3
Facility 2 to Customer 4: 4
Facility 2 to Customer 5: 4
Facility 2 to Customer 6: 8
Facility 2 to Customer 7: 5
Facility 3 to Customer 0: 9
Facility 3 to Customer 1: 8
Facility 3 to Customer 2: 7
Facility 3 to Customer 3: 1
Facility 3 to Customer 4: 9
Facility 3 to Customer 5: 1
Facility 3 to Customer 6: 7
Facility 3 to Customer 7: 8
Facility 4 to Customer 0: 5
Facility 4 to Customer 1: 1
Facility 4 to Customer 2: 2
Facility 4 to Customer 3: 7
Facility 4 to Customer 4: 5
Facility 4 to Customer 5: 3
Facility 4 to Customer 6: 1
Facility 4 to Customer 7: 3
Drone operational costs (L-type drones):
Facility 0 to Customer 0: 18
Facility 0 to Customer 1: 12
Facility 0 to Customer 2: 10
Facility 0 to Customer 3: 15
Facility 0 to Customer 4: 19
Facility 0 to Customer 5: 19
Facility 0 to Customer 6: 10
Facility 0 to Customer 7: 13
Facility 1 to Customer 0: 10
Facility 1 to Customer 1: 18
Facility 1 to Customer 2: 11
Facility 1 to Customer 3: 10
Facility 1 to Customer 4: 16
Facility 1 to Customer 5: 10
Facility 1 to Customer 6: 10
Facility 1 to Customer 7: 12
Facility 2 to Customer 0: 14
Facility 2 to Customer 1: 13
Facility 2 to Customer 2: 19
Facility 2 to Customer 3: 19
Facility 2 to Customer 4: 11
Facility 2 to Customer 5: 15
Facility 2 to Customer 6: 10
Facility 2 to Customer 7: 12
Facility 3 to Customer 0: 12
Facility 3 to Customer 1: 18
Facility 3 to Customer 2: 15
Facility 3 to Customer 3: 10
Facility 3 to Customer 4: 17
Facility 3 to Customer 5: 19
Facility 3 to Customer 6: 10
Facility 3 to Customer 7: 12
Facility 4 to Customer 0: 18
Facility 4 to Customer 1: 10
Facility 4 to Customer 2: 15
Facility 4 to Customer 3: 13
Facility 4 to Customer 4: 15
Facility 4 to Customer 5: 17
Facility 4 to Customer 6: 19
Facility 4 to Customer 7: 16
Facility capacities:
Facility 0: 9
Facility 1: 8
Facility 2: 9
Facility 3: 6
Facility 4: 6
Small drone payload capacity: 15
Large drone payload capacity: 23
Small drone max range: 10
Large drone max range: 26
Package weights:
Customer 0: 11
Customer 1: 12
Customer 2: 14
Customer 3: 14
Customer 4: 16
Customer 5: 12
Customer 6: 13
Customer 7: 14
Number of S-type drones: 6
Number of L-type drones: 4
