Facility Location Problem Instance
Number of facilities: 5
Number of customers: 15
Grid size: 10x10
Facilities coordinates (x, y):
2, 9
1, 4
1, 7
7, 7
6, 3
Customers coordinates (x, y):
1, 7
0, 6
6, 9
0, 7
4, 3
9, 1
5, 0
0, 0
8, 0
6, 3
6, 0
8, 3
7, 7
8, 3
5, 3
Distances between facilities and customers:
Facility 0 to Customer 0: 2.24
Facility 0 to Customer 1: 3.61
Facility 0 to Customer 2: 4.00
Facility 0 to Customer 3: 2.83
Facility 0 to Customer 4: 6.32
Facility 0 to Customer 5: 10.63
Facility 0 to Customer 6: 9.49
Facility 0 to Customer 7: 9.22
Facility 0 to Customer 8: 10.82
Facility 0 to Customer 9: 7.21
Facility 0 to Customer 10: 9.85
Facility 0 to Customer 11: 8.49
Facility 0 to Customer 12: 5.39
Facility 0 to Customer 13: 8.49
Facility 0 to Customer 14: 6.71
Facility 1 to Customer 0: 3.00
Facility 1 to Customer 1: 2.24
Facility 1 to Customer 2: 7.07
Facility 1 to Customer 3: 3.16
Facility 1 to Customer 4: 3.16
Facility 1 to Customer 5: 8.54
Facility 1 to Customer 6: 5.66
Facility 1 to Customer 7: 4.12
Facility 1 to Customer 8: 8.06
Facility 1 to Customer 9: 5.10
Facility 1 to Customer 10: 6.40
Facility 1 to Customer 11: 7.07
Facility 1 to Customer 12: 6.71
Facility 1 to Customer 13: 7.07
Facility 1 to Customer 14: 4.12
Facility 2 to Customer 0: 0.00
Facility 2 to Customer 1: 1.41
Facility 2 to Customer 2: 5.39
Facility 2 to Customer 3: 1.00
Facility 2 to Customer 4: 5.00
Facility 2 to Customer 5: 10.00
Facility 2 to Customer 6: 8.06
Facility 2 to Customer 7: 7.07
Facility 2 to Customer 8: 9.90
Facility 2 to Customer 9: 6.40
Facility 2 to Customer 10: 8.60
Facility 2 to Customer 11: 8.06
Facility 2 to Customer 12: 6.00
Facility 2 to Customer 13: 8.06
Facility 2 to Customer 14: 5.66
Facility 3 to Customer 0: 6.00
Facility 3 to Customer 1: 7.07
Facility 3 to Customer 2: 2.24
Facility 3 to Customer 3: 7.00
Facility 3 to Customer 4: 5.00
Facility 3 to Customer 5: 6.32
Facility 3 to Customer 6: 7.28
Facility 3 to Customer 7: 9.90
Facility 3 to Customer 8: 7.07
Facility 3 to Customer 9: 4.12
Facility 3 to Customer 10: 7.07
Facility 3 to Customer 11: 4.12
Facility 3 to Customer 12: 0.00
Facility 3 to Customer 13: 4.12
Facility 3 to Customer 14: 4.47
Facility 4 to Customer 0: 6.40
Facility 4 to Customer 1: 6.71
Facility 4 to Customer 2: 6.00
Facility 4 to Customer 3: 7.21
Facility 4 to Customer 4: 2.00
Facility 4 to Customer 5: 3.61
Facility 4 to Customer 6: 3.16
Facility 4 to Customer 7: 6.71
Facility 4 to Customer 8: 3.61
Facility 4 to Customer 9: 0.00
Facility 4 to Customer 10: 3.00
Facility 4 to Customer 11: 2.00
Facility 4 to Customer 12: 4.12
Facility 4 to Customer 13: 2.00
Facility 4 to Customer 14: 1.00
Facilities fixed costs:
Facility 0: 15
Facility 1: 18
Facility 2: 19
Facility 3: 15
Facility 4: 10
Drone operational costs (S-type drones):
Facility 0 to Customer 0: 1
Facility 0 to Customer 1: 2
Facility 0 to Customer 2: 8
Facility 0 to Customer 3: 7
Facility 0 to Customer 4: 3
Facility 0 to Customer 5: 5
Facility 0 to Customer 6: 6
Facility 0 to Customer 7: 3
Facility 0 to Customer 8: 5
Facility 0 to Customer 9: 3
Facility 0 to Customer 10: 5
Facility 0 to Customer 11: 8
Facility 0 to Customer 12: 8
Facility 0 to Customer 13: 2
Facility 0 to Customer 14: 8
Facility 1 to Customer 0: 1
Facility 1 to Customer 1: 7
Facility 1 to Customer 2: 8
Facility 1 to Customer 3: 7
Facility 1 to Customer 4: 2
Facility 1 to Customer 5: 1
Facility 1 to Customer 6: 2
Facility 1 to Customer 7: 9
Facility 1 to Customer 8: 9
Facility 1 to Customer 9: 4
Facility 1 to Customer 10: 9
Facility 1 to Customer 11: 8
Facility 1 to Customer 12: 4
Facility 1 to Customer 13: 7
Facility 1 to Customer 14: 6
Facility 2 to Customer 0: 2
Facility 2 to Customer 1: 4
Facility 2 to Customer 2: 5
Facility 2 to Customer 3: 9
Facility 2 to Customer 4: 2
Facility 2 to Customer 5: 5
Facility 2 to Customer 6: 1
Facility 2 to Customer 7: 4
Facility 2 to Customer 8: 3
Facility 2 to Customer 9: 1
Facility 2 to Customer 10: 5
Facility 2 to Customer 11: 3
Facility 2 to Customer 12: 8
Facility 2 to Customer 13: 8
Facility 2 to Customer 14: 9
Facility 3 to Customer 0: 7
Facility 3 to Customer 1: 4
Facility 3 to Customer 2: 8
Facility 3 to Customer 3: 8
Facility 3 to Customer 4: 5
Facility 3 to Customer 5: 6
Facility 3 to Customer 6: 4
Facility 3 to Customer 7: 7
Facility 3 to Customer 8: 9
Facility 3 to Customer 9: 1
Facility 3 to Customer 10: 3
Facility 3 to Customer 11: 8
Facility 3 to Customer 12: 8
Facility 3 to Customer 13: 8
Facility 3 to Customer 14: 4
Facility 4 to Customer 0: 1
Facility 4 to Customer 1: 9
Facility 4 to Customer 2: 8
Facility 4 to Customer 3: 8
Facility 4 to Customer 4: 2
Facility 4 to Customer 5: 2
Facility 4 to Customer 6: 4
Facility 4 to Customer 7: 1
Facility 4 to Customer 8: 9
Facility 4 to Customer 9: 7
Facility 4 to Customer 10: 5
Facility 4 to Customer 11: 6
Facility 4 to Customer 12: 7
Facility 4 to Customer 13: 3
Facility 4 to Customer 14: 6
Drone operational costs (L-type drones):
Facility 0 to Customer 0: 21
Facility 0 to Customer 1: 17
Facility 0 to Customer 2: 23
Facility 0 to Customer 3: 18
Facility 0 to Customer 4: 21
Facility 0 to Customer 5: 22
Facility 0 to Customer 6: 21
Facility 0 to Customer 7: 14
Facility 0 to Customer 8: 17
Facility 0 to Customer 9: 17
Facility 0 to Customer 10: 23
Facility 0 to Customer 11: 14
Facility 0 to Customer 12: 26
Facility 0 to Customer 13: 28
Facility 0 to Customer 14: 10
Facility 1 to Customer 0: 23
Facility 1 to Customer 1: 20
Facility 1 to Customer 2: 27
Facility 1 to Customer 3: 17
Facility 1 to Customer 4: 20
Facility 1 to Customer 5: 10
Facility 1 to Customer 6: 22
Facility 1 to Customer 7: 11
Facility 1 to Customer 8: 19
Facility 1 to Customer 9: 28
Facility 1 to Customer 10: 29
Facility 1 to Customer 11: 11
Facility 1 to Customer 12: 12
Facility 1 to Customer 13: 22
Facility 1 to Customer 14: 17
Facility 2 to Customer 0: 12
Facility 2 to Customer 1: 20
Facility 2 to Customer 2: 10
Facility 2 to Customer 3: 19
Facility 2 to Customer 4: 28
Facility 2 to Customer 5: 16
Facility 2 to Customer 6: 12
Facility 2 to Customer 7: 17
Facility 2 to Customer 8: 17
Facility 2 to Customer 9: 26
Facility 2 to Customer 10: 25
Facility 2 to Customer 11: 15
Facility 2 to Customer 12: 27
Facility 2 to Customer 13: 20
Facility 2 to Customer 14: 26
Facility 3 to Customer 0: 15
Facility 3 to Customer 1: 23
Facility 3 to Customer 2: 27
Facility 3 to Customer 3: 28
Facility 3 to Customer 4: 11
Facility 3 to Customer 5: 20
Facility 3 to Customer 6: 10
Facility 3 to Customer 7: 17
