Facility Location Problem Instance
Number of facilities: 30
Number of customers: 20
Grid size: 15x15
Facilities coordinates (x, y):
3, 3
9, 5
5, 14
8, 13
8, 12
1, 12
6, 14
1, 7
3, 0
6, 3
7, 6
0, 11
12, 8
6, 8
8, 10
5, 6
5, 6
7, 7
10, 8
11, 10
12, 6
0, 8
4, 4
10, 4
2, 5
5, 13
7, 6
4, 9
13, 5
14, 7
Customers coordinates (x, y):
2, 7
1, 1
10, 7
13, 5
11, 9
4, 5
2, 1
12, 12
14, 4
5, 2
10, 8
12, 2
10, 8
11, 6
9, 8
8, 11
4, 5
0, 3
13, 2
1, 10
Distances between facilities and customers:
Facility 0 to Customer 0: 4.12
Facility 0 to Customer 1: 2.83
Facility 0 to Customer 2: 8.06
Facility 0 to Customer 3: 10.20
Facility 0 to Customer 4: 10.00
Facility 0 to Customer 5: 2.24
Facility 0 to Customer 6: 2.24
Facility 0 to Customer 7: 12.73
Facility 0 to Customer 8: 11.05
Facility 0 to Customer 9: 2.24
Facility 0 to Customer 10: 8.60
Facility 0 to Customer 11: 9.06
Facility 0 to Customer 12: 8.60
Facility 0 to Customer 13: 8.54
Facility 0 to Customer 14: 7.81
Facility 0 to Customer 15: 9.43
Facility 0 to Customer 16: 2.24
Facility 0 to Customer 17: 3.00
Facility 0 to Customer 18: 10.05
Facility 0 to Customer 19: 7.28
Facility 1 to Customer 0: 7.28
Facility 1 to Customer 1: 8.94
Facility 1 to Customer 2: 2.24
Facility 1 to Customer 3: 4.00
Facility 1 to Customer 4: 4.47
Facility 1 to Customer 5: 5.00
Facility 1 to Customer 6: 8.06
Facility 1 to Customer 7: 7.62
Facility 1 to Customer 8: 5.10
Facility 1 to Customer 9: 5.00
Facility 1 to Customer 10: 3.16
Facility 1 to Customer 11: 4.24
Facility 1 to Customer 12: 3.16
Facility 1 to Customer 13: 2.24
Facility 1 to Customer 14: 3.00
Facility 1 to Customer 15: 6.08
Facility 1 to Customer 16: 5.00
Facility 1 to Customer 17: 9.22
Facility 1 to Customer 18: 5.00
Facility 1 to Customer 19: 9.43
Facility 2 to Customer 0: 7.62
Facility 2 to Customer 1: 13.60
