Facility Location Problem Instance
Number of facilities: 40
Number of customers: 30
Grid size: 20x20
Facilities coordinates (x, y):
11, 10
12, 15
16, 0
11, 4
9, 5
9, 18
4, 17
4, 5
14, 4
4, 5
2, 19
8, 7
11, 10
5, 8
15, 9
2, 13
4, 17
11, 14
3, 4
10, 2
5, 15
17, 1
1, 6
11, 11
16, 11
16, 11
10, 3
5, 12
1, 8
19, 6
1, 7
9, 10
18, 12
7, 11
1, 7
9, 18
0, 6
3, 4
7, 11
16, 8
Customers coordinates (x, y):
4, 5
7, 2
9, 18
16, 16
17, 19
17, 13
14, 18
16, 15
5, 16
11, 6
13, 2
8, 6
7, 4
4, 6
0, 5
15, 11
5, 1
11, 2
19, 7
6, 2
14, 6
19, 10
5, 18
0, 6
10, 15
17, 1
1, 11
15, 17
11, 4
15, 2
Distances between facilities and customers:
Facility 0 to Customer 0: 8.60
Facility 0 to Customer 1: 8.94
Facility 0 to Customer 2: 8.25
Facility 0 to Customer 3: 7.81
Facility 0 to Customer 4: 10.82
Facility 0 to Customer 5: 6.71
Facility 0 to Customer 6: 8.54
Facility 0 to Customer 7: 7.07
Facility 0 to Customer 8: 8.49
Facility 0 to Customer 9: 4.00
Facility 0 to Customer 10: 8.25
Facility 0 to Customer 11: 5.00
Facility 0 to Customer 12: 7.21
Facility 0 to Customer 13: 8.06
Facility 0 to Customer 14: 12.08
Facility 0 to Customer 15: 4.12
Facility 0 to Customer 16: 10.82
Facility 0 to Customer 17: 8.00
Facility 0 to Customer 18: 8.54
Facility 0 to Customer 19: 9.43
Facility 0 to Customer 20: 5.00
Facility 0 to Customer 21: 8.00
Facility 0 to Customer 22: 10.00
Facility 0 to Customer 23: 11.70
Facility 0 to Customer 24: 5.10
Facility 0 to Customer 25: 10.82
Facility 0 to Customer 26: 10.05
Facility 0 to Customer 27: 8.06
Facility 0 to Customer 28: 6.00
Facility 0 to Customer 29: 8.94
Facility 1 to Customer 0: 12.81
Facility 1 to Customer 1: 13.93
Facility 1 to Customer 2: 4.24
Facility 1 to Customer 3: 4.12
Facility 1 to Customer 4: 6.40
Facility 1 to Customer 5: 5.39
Facility 1 to Customer 6: 3.61
Facility 1 to Customer 7: 4.00
Facility 1 to Customer 8: 7.07
Facility 1 to Customer 9: 9.06
Facility 1 to Customer 10: 13.04
Facility 1 to Customer 11: 9.85
Facility 1 to Customer 12: 12.08
Facility 1 to Customer 13: 12.04
Facility 1 to Customer 14: 15.62
Facility 1 to Customer 15: 5.00
Facility 1 to Customer 16: 15.65
Facility 1 to Customer 17: 13.04
Facility 1 to Customer 18: 10.63
Facility 1 to Customer 19: 14.32
Facility 1 to Customer 20: 9.22
Facility 1 to Customer 21: 8.60
Facility 1 to Customer 22: 7.62
Facility 1 to Customer 23: 15.00
Facility 1 to Customer 24: 2.00
Facility 1 to Customer 25: 14.87
Facility 1 to Customer 26: 11.70
Facility 1 to Customer 27: 3.61
Facility 1 to Customer 28: 11.05
Facility 1 to Customer 29: 13.34
Facility 2 to Customer 0: 13.00
Facility 2 to Customer 1: 9.22
Facility 2 to Customer 2: 19.31
Facility 2 to Customer 3: 16.00
Facility 2 to Customer 4: 19.03
Facility 2 to Customer 5: 13.04
Facility 2 to Customer 6: 18.11
Facility 2 to Customer 7: 15.00
Facility 2 to Customer 8: 19.42
Facility 2 to Customer 9: 7.81
Facility 2 to Customer 10: 3.61
Facility 2 to Customer 11: 10.00
Facility 2 to Customer 12: 9.85
Facility 2 to Customer 13: 13.42
Facility 2 to Customer 14: 16.76
Facility 2 to Customer 15: 11.05
Facility 2 to Customer 16: 11.05
Facility 2 to Customer 17: 5.39
Facility 2 to Customer 18: 7.62
Facility 2 to Customer 19: 10.20
Facility 2 to Customer 20: 6.32
Facility 2 to Customer 21: 10.44
Facility 2 to Customer 22: 21.10
Facility 2 to Customer 23: 17.09
Facility 2 to Customer 24: 16.16
Facility 2 to Customer 25: 1.41
Facility 2 to Customer 26: 18.60
Facility 2 to Customer 27: 17.03
Facility 2 to Customer 28: 6.40
