Facility Location Problem Instance
Number of facilities: 20
Number of customers: 25
Grid size: 80x80
Facilities coordinates (x, y):
9, 27
58, 61
29, 48
16, 42
9, 42
23, 2
0, 74
73, 2
70, 9
21, 23
0, 16
13, 34
37, 58
58, 51
12, 5
29, 27
12, 75
70, 13
23, 67
47, 47
Customers coordinates (x, y):
3, 1
11, 63
10, 67
22, 15
55, 57
5, 47
48, 15
69, 76
39, 19
44, 75
6, 29
12, 77
20, 51
31, 4
54, 23
28, 7
47, 62
17, 47
26, 30
77, 19
1, 9
62, 44
29, 54
14, 17
73, 4
Distances between facilities and customers:
Facility 0 to Customer 0: 26.68
Facility 0 to Customer 1: 36.06
Facility 0 to Customer 2: 40.01
Facility 0 to Customer 3: 17.69
Facility 0 to Customer 4: 54.92
Facility 0 to Customer 5: 20.40
Facility 0 to Customer 6: 40.80
Facility 0 to Customer 7: 77.47
Facility 0 to Customer 8: 31.05
Facility 0 to Customer 9: 59.41
Facility 0 to Customer 10: 3.61
Facility 0 to Customer 11: 50.09
Facility 0 to Customer 12: 26.40
Facility 0 to Customer 13: 31.83
Facility 0 to Customer 14: 45.18
Facility 0 to Customer 15: 27.59
Facility 0 to Customer 16: 51.66
Facility 0 to Customer 17: 21.54
Facility 0 to Customer 18: 17.26
Facility 0 to Customer 19: 68.47
Facility 0 to Customer 20: 19.70
Facility 0 to Customer 21: 55.66
Facility 0 to Customer 22: 33.60
Facility 0 to Customer 23: 11.18
Facility 0 to Customer 24: 68.01
Facility 1 to Customer 0: 81.39
Facility 1 to Customer 1: 47.04
Facility 1 to Customer 2: 48.37
Facility 1 to Customer 3: 58.41
Facility 1 to Customer 4: 5.00
Facility 1 to Customer 5: 54.82
Facility 1 to Customer 6: 47.07
Facility 1 to Customer 7: 18.60
Facility 1 to Customer 8: 46.10
Facility 1 to Customer 9: 19.80
Facility 1 to Customer 10: 61.06
Facility 1 to Customer 11: 48.70
Facility 1 to Customer 12: 39.29
Facility 1 to Customer 13: 63.07
Facility 1 to Customer 14: 38.21
Facility 1 to Customer 15: 61.77
Facility 1 to Customer 16: 11.05
Facility 1 to Customer 17: 43.32
Facility 1 to Customer 18: 44.55
Facility 1 to Customer 19: 46.10
Facility 1 to Customer 20: 77.16
Facility 1 to Customer 21: 17.46
Facility 1 to Customer 22: 29.83
Facility 1 to Customer 23: 62.23
Facility 1 to Customer 24: 58.94
Facility 2 to Customer 0: 53.71
Facility 2 to Customer 1: 23.43
Facility 2 to Customer 2: 26.87
Facility 2 to Customer 3: 33.73
Facility 2 to Customer 4: 27.51
Facility 2 to Customer 5: 24.02
Facility 2 to Customer 6: 38.08
Facility 2 to Customer 7: 48.83
Facility 2 to Customer 8: 30.68
Facility 2 to Customer 9: 30.89
Facility 2 to Customer 10: 29.83
Facility 2 to Customer 11: 33.62
Facility 2 to Customer 12: 9.49
Facility 2 to Customer 13: 44.05
Facility 2 to Customer 14: 35.36
Facility 2 to Customer 15: 41.01
Facility 2 to Customer 16: 22.80
Facility 2 to Customer 17: 12.04
Facility 2 to Customer 18: 18.25
Facility 2 to Customer 19: 56.08
Facility 2 to Customer 20: 48.01
Facility 2 to Customer 21: 33.24
Facility 2 to Customer 22: 6.00
Facility 2 to Customer 23: 34.44
Facility 2 to Customer 24: 62.23
Facility 3 to Customer 0: 43.01
Facility 3 to Customer 1: 21.59
Facility 3 to Customer 2: 25.71
Facility 3 to Customer 3: 27.66
Facility 3 to Customer 4: 41.79
Facility 3 to Customer 5: 12.08
Facility 3 to Customer 6: 41.87
Facility 3 to Customer 7: 62.97
Facility 3 to Customer 8: 32.53
Facility 3 to Customer 9: 43.28
Facility 3 to Customer 10: 16.40
Facility 3 to Customer 11: 35.23
Facility 3 to Customer 12: 9.85
Facility 3 to Customer 13: 40.85
Facility 3 to Customer 14: 42.49
Facility 3 to Customer 15: 37.00
Facility 3 to Customer 16: 36.89
Facility 3 to Customer 17: 5.10
Facility 3 to Customer 18: 15.62
Facility 3 to Customer 19: 65.19
Facility 3 to Customer 20: 36.25
Facility 3 to Customer 21: 46.04
Facility 3 to Customer 22: 17.69
Facility 3 to Customer 23: 25.08
Facility 3 to Customer 24: 68.51
Facility 4 to Customer 0: 41.44
Facility 4 to Customer 1: 21.10
Facility 4 to Customer 2: 25.02
Facility 4 to Customer 3: 29.97
Facility 4 to Customer 4: 48.38
Facility 4 to Customer 5: 6.40
Facility 4 to Customer 6: 47.43
Facility 4 to Customer 7: 68.96
Facility 4 to Customer 8: 37.80
Facility 4 to Customer 9: 48.10
Facility 4 to Customer 10: 13.34
Facility 4 to Customer 11: 35.13
Facility 4 to Customer 12: 14.21
Facility 4 to Customer 13: 43.91
Facility 4 to Customer 14: 48.85
Facility 4 to Customer 15: 39.82
Facility 4 to Customer 16: 42.94
Facility 4 to Customer 17: 9.43
Facility 4 to Customer 18: 20.81
Facility 4 to Customer 19: 71.78
Facility 4 to Customer 20: 33.96
Facility 4 to Customer 21: 53.04
Facility 4 to Customer 22: 23.32
Facility 4 to Customer 23: 25.50
Facility 4 to Customer 24: 74.43
Facility 5 to Customer 0: 20.02
Facility 5 to Customer 1: 62.17
Facility 5 to Customer 2: 66.29
Facility 5 to Customer 3: 13.04
Facility 5 to Customer 4: 63.63
Facility 5 to Customer 5: 48.47
Facility 5 to Customer 6: 28.18
Facility 5 to Customer 7: 87.13
Facility 5 to Customer 8: 23.35
Facility 5 to Customer 9: 75.96
Facility 5 to Customer 10: 31.91
Facility 5 to Customer 11: 75.80
Facility 5 to Customer 12: 49.09
Facility 5 to Customer 13: 8.25
Facility 5 to Customer 14: 37.44
Facility 5 to Customer 15: 7.07
Facility 5 to Customer 16: 64.62
Facility 5 to Customer 17: 45.40
Facility 5 to Customer 18: 28.16
Facility 5 to Customer 19: 56.61
Facility 5 to Customer 20: 23.09
Facility 5 to Customer 21: 57.31
Facility 5 to Customer 22: 52.35
Facility 5 to Customer 23: 17.49
Facility 5 to Customer 24: 50.04
Facility 6 to Customer 0: 73.06
Facility 6 to Customer 1: 15.56
Facility 6 to Customer 2: 12.21
Facility 6 to Customer 3: 62.97
Facility 6 to Customer 4: 57.57
Facility 6 to Customer 5: 27.46
Facility 6 to Customer 6: 76.06
Facility 6 to Customer 7: 69.03
Facility 6 to Customer 8: 67.42
Facility 6 to Customer 9: 44.01
Facility 6 to Customer 10: 45.40
