Facility Location Problem Instance
Number of facilities: 5
Number of customers: 8
Grid size: 15x15
Facilities coordinates (x, y):
7, 4
10, 8
10, 5
2, 6
0, 5
Customers coordinates (x, y):
7, 4
10, 12
7, 11
13, 9
3, 8
0, 10
9, 2
7, 5
Distances between facilities and customers:
Facility 0 to Customer 0: 0.00
Facility 0 to Customer 1: 8.54
Facility 0 to Customer 2: 7.00
Facility 0 to Customer 3: 7.81
Facility 0 to Customer 4: 5.66
Facility 0 to Customer 5: 9.22
Facility 0 to Customer 6: 2.83
Facility 0 to Customer 7: 1.00
Facility 1 to Customer 0: 5.00
Facility 1 to Customer 1: 4.00
Facility 1 to Customer 2: 4.24
Facility 1 to Customer 3: 3.16
Facility 1 to Customer 4: 7.00
Facility 1 to Customer 5: 10.20
Facility 1 to Customer 6: 6.08
Facility 1 to Customer 7: 4.24
Facility 2 to Customer 0: 3.16
Facility 2 to Customer 1: 7.00
Facility 2 to Customer 2: 6.71
Facility 2 to Customer 3: 5.00
Facility 2 to Customer 4: 7.62
Facility 2 to Customer 5: 11.18
Facility 2 to Customer 6: 3.16
Facility 2 to Customer 7: 3.00
Facility 3 to Customer 0: 5.39
Facility 3 to Customer 1: 10.00
Facility 3 to Customer 2: 7.07
Facility 3 to Customer 3: 11.40
Facility 3 to Customer 4: 2.24
Facility 3 to Customer 5: 4.47
Facility 3 to Customer 6: 8.06
Facility 3 to Customer 7: 5.10
Facility 4 to Customer 0: 7.07
Facility 4 to Customer 1: 12.21
Facility 4 to Customer 2: 9.22
Facility 4 to Customer 3: 13.60
Facility 4 to Customer 4: 4.24
Facility 4 to Customer 5: 5.00
Facility 4 to Customer 6: 9.49
Facility 4 to Customer 7: 7.00
Facilities fixed costs:
Facility 0: 16
Facility 1: 11
Facility 2: 12
Facility 3: 13
Facility 4: 13
Drone operational costs (S-type drones):
Facility 0 to Customer 0: 1
Facility 0 to Customer 1: 7
Facility 0 to Customer 2: 2
Facility 0 to Customer 3: 5
Facility 0 to Customer 4: 6
Facility 0 to Customer 5: 3
Facility 0 to Customer 6: 7
Facility 0 to Customer 7: 1
Facility 1 to Customer 0: 6
Facility 1 to Customer 1: 9
Facility 1 to Customer 2: 3
Facility 1 to Customer 3: 4
Facility 1 to Customer 4: 5
Facility 1 to Customer 5: 4
Facility 1 to Customer 6: 2
Facility 1 to Customer 7: 8
Facility 2 to Customer 0: 1
Facility 2 to Customer 1: 3
Facility 2 to Customer 2: 7
Facility 2 to Customer 3: 3
Facility 2 to Customer 4: 1
Facility 2 to Customer 5: 5
Facility 2 to Customer 6: 7
Facility 2 to Customer 7: 1
Facility 3 to Customer 0: 1
Facility 3 to Customer 1: 9
Facility 3 to Customer 2: 7
Facility 3 to Customer 3: 2
Facility 3 to Customer 4: 9
Facility 3 to Customer 5: 5
Facility 3 to Customer 6: 1
Facility 3 to Customer 7: 5
Facility 4 to Customer 0: 2
Facility 4 to Customer 1: 6
Facility 4 to Customer 2: 6
Facility 4 to Customer 3: 4
Facility 4 to Customer 4: 5
Facility 4 to Customer 5: 6
Facility 4 to Customer 6: 6
Facility 4 to Customer 7: 1
Drone operational costs (L-type drones):
Facility 0 to Customer 0: 16
Facility 0 to Customer 1: 16
Facility 0 to Customer 2: 13
Facility 0 to Customer 3: 12
Facility 0 to Customer 4: 14
Facility 0 to Customer 5: 13
Facility 0 to Customer 6: 19
Facility 0 to Customer 7: 16
Facility 1 to Customer 0: 17
Facility 1 to Customer 1: 14
Facility 1 to Customer 2: 11
Facility 1 to Customer 3: 14
Facility 1 to Customer 4: 19
Facility 1 to Customer 5: 15
Facility 1 to Customer 6: 13
Facility 1 to Customer 7: 15
Facility 2 to Customer 0: 10
Facility 2 to Customer 1: 12
Facility 2 to Customer 2: 19
Facility 2 to Customer 3: 16
Facility 2 to Customer 4: 14
Facility 2 to Customer 5: 17
Facility 2 to Customer 6: 16
Facility 2 to Customer 7: 12
Facility 3 to Customer 0: 13
Facility 3 to Customer 1: 12
Facility 3 to Customer 2: 16
Facility 3 to Customer 3: 14
Facility 3 to Customer 4: 15
Facility 3 to Customer 5: 10
Facility 3 to Customer 6: 10
Facility 3 to Customer 7: 15
Facility 4 to Customer 0: 14
Facility 4 to Customer 1: 10
Facility 4 to Customer 2: 13
Facility 4 to Customer 3: 17
Facility 4 to Customer 4: 19
Facility 4 to Customer 5: 16
Facility 4 to Customer 6: 18
Facility 4 to Customer 7: 16
Facility capacities:
Facility 0: 6
Facility 1: 9
Facility 2: 6
Facility 3: 9
Facility 4: 10
Small drone payload capacity: 7
Large drone payload capacity: 20
Small drone max range: 11
Large drone max range: 20
Package weights:
Customer 0: 20
Customer 1: 19
Customer 2: 12
Customer 3: 14
Customer 4: 10
Customer 5: 18
Customer 6: 14
Customer 7: 14
Number of S-type drones: 6
Number of L-type drones: 4
