Facility Location Problem Instance
Number of facilities: 5
Number of customers: 15
Grid size: 10x10
Facilities coordinates (x, y):
2, 3
3, 4
2, 7
1, 5
4, 8
Customers coordinates (x, y):
8, 6
0, 4
1, 1
4, 6
4, 2
7, 7
3, 4
8, 2
6, 3
4, 6
7, 6
4, 9
1, 8
5, 8
9, 6
Distances between facilities and customers:
Facility 0 to Customer 0: 6.71
Facility 0 to Customer 1: 2.24
Facility 0 to Customer 2: 2.24
Facility 0 to Customer 3: 3.61
Facility 0 to Customer 4: 2.24
Facility 0 to Customer 5: 6.40
Facility 0 to Customer 6: 1.41
Facility 0 to Customer 7: 6.08
Facility 0 to Customer 8: 4.00
Facility 0 to Customer 9: 3.61
Facility 0 to Customer 10: 5.83
Facility 0 to Customer 11: 6.32
Facility 0 to Customer 12: 5.10
Facility 0 to Customer 13: 5.83
Facility 0 to Customer 14: 7.62
Facility 1 to Customer 0: 5.39
Facility 1 to Customer 1: 3.00
Facility 1 to Customer 2: 3.61
Facility 1 to Customer 3: 2.24
Facility 1 to Customer 4: 2.24
Facility 1 to Customer 5: 5.00
Facility 1 to Customer 6: 0.00
Facility 1 to Customer 7: 5.39
Facility 1 to Customer 8: 3.16
Facility 1 to Customer 9: 2.24
Facility 1 to Customer 10: 4.47
Facility 1 to Customer 11: 5.10
Facility 1 to Customer 12: 4.47
Facility 1 to Customer 13: 4.47
Facility 1 to Customer 14: 6.32
Facility 2 to Customer 0: 6.08
Facility 2 to Customer 1: 3.61
Facility 2 to Customer 2: 6.08
Facility 2 to Customer 3: 2.24
Facility 2 to Customer 4: 5.39
Facility 2 to Customer 5: 5.00
Facility 2 to Customer 6: 3.16
Facility 2 to Customer 7: 7.81
Facility 2 to Customer 8: 5.66
Facility 2 to Customer 9: 2.24
Facility 2 to Customer 10: 5.10
Facility 2 to Customer 11: 2.83
Facility 2 to Customer 12: 1.41
Facility 2 to Customer 13: 3.16
Facility 2 to Customer 14: 7.07
Facility 3 to Customer 0: 7.07
Facility 3 to Customer 1: 1.41
Facility 3 to Customer 2: 4.00
Facility 3 to Customer 3: 3.16
Facility 3 to Customer 4: 4.24
Facility 3 to Customer 5: 6.32
Facility 3 to Customer 6: 2.24
Facility 3 to Customer 7: 7.62
Facility 3 to Customer 8: 5.39
Facility 3 to Customer 9: 3.16
Facility 3 to Customer 10: 6.08
Facility 3 to Customer 11: 5.00
Facility 3 to Customer 12: 3.00
Facility 3 to Customer 13: 5.00
Facility 3 to Customer 14: 8.06
Facility 4 to Customer 0: 4.47
Facility 4 to Customer 1: 5.66
Facility 4 to Customer 2: 7.62
Facility 4 to Customer 3: 2.00
Facility 4 to Customer 4: 6.00
Facility 4 to Customer 5: 3.16
Facility 4 to Customer 6: 4.12
Facility 4 to Customer 7: 7.21
Facility 4 to Customer 8: 5.39
Facility 4 to Customer 9: 2.00
Facility 4 to Customer 10: 3.61
Facility 4 to Customer 11: 1.00
Facility 4 to Customer 12: 3.00
Facility 4 to Customer 13: 1.00
Facility 4 to Customer 14: 5.39
Facilities fixed costs:
Facility 0: 10
Facility 1: 16
Facility 2: 14
Facility 3: 19
Facility 4: 19
Drone operational costs (S-type drones):
Facility 0 to Customer 0: 7
Facility 0 to Customer 1: 6
Facility 0 to Customer 2: 2
Facility 0 to Customer 3: 6
Facility 0 to Customer 4: 3
Facility 0 to Customer 5: 5
Facility 0 to Customer 6: 1
Facility 0 to Customer 7: 9
Facility 0 to Customer 8: 7
Facility 0 to Customer 9: 1
Facility 0 to Customer 10: 2
Facility 0 to Customer 11: 6
Facility 0 to Customer 12: 9
Facility 0 to Customer 13: 5
Facility 0 to Customer 14: 8
Facility 1 to Customer 0: 9
Facility 1 to Customer 1: 8
Facility 1 to Customer 2: 9
Facility 1 to Customer 3: 5
Facility 1 to Customer 4: 4
Facility 1 to Customer 5: 8
Facility 1 to Customer 6: 3
Facility 1 to Customer 7: 3
Facility 1 to Customer 8: 6
Facility 1 to Customer 9: 1
Facility 1 to Customer 10: 3
Facility 1 to Customer 11: 7
Facility 1 to Customer 12: 4
Facility 1 to Customer 13: 3
Facility 1 to Customer 14: 9
Facility 2 to Customer 0: 3
Facility 2 to Customer 1: 3
Facility 2 to Customer 2: 1
Facility 2 to Customer 3: 5
Facility 2 to Customer 4: 4
Facility 2 to Customer 5: 5
Facility 2 to Customer 6: 2
Facility 2 to Customer 7: 9
Facility 2 to Customer 8: 4
Facility 2 to Customer 9: 4
Facility 2 to Customer 10: 2
Facility 2 to Customer 11: 2
Facility 2 to Customer 12: 9
Facility 2 to Customer 13: 6
Facility 2 to Customer 14: 1
Facility 3 to Customer 0: 6
Facility 3 to Customer 1: 2
Facility 3 to Customer 2: 3
Facility 3 to Customer 3: 5
Facility 3 to Customer 4: 3
Facility 3 to Customer 5: 5
Facility 3 to Customer 6: 8
Facility 3 to Customer 7: 2
Facility 3 to Customer 8: 7
Facility 3 to Customer 9: 8
Facility 3 to Customer 10: 6
Facility 3 to Customer 11: 5
Facility 3 to Customer 12: 1
Facility 3 to Customer 13: 9
Facility 3 to Customer 14: 1
Facility 4 to Customer 0: 2
Facility 4 to Customer 1: 3
Facility 4 to Customer 2: 6
Facility 4 to Customer 3: 7
Facility 4 to Customer 4: 8
Facility 4 to Customer 5: 1
Facility 4 to Customer 6: 2
Facility 4 to Customer 7: 2
Facility 4 to Customer 8: 2
Facility 4 to Customer 9: 9
Facility 4 to Customer 10: 7
Facility 4 to Customer 11: 8
Facility 4 to Customer 12: 5
Facility 4 to Customer 13: 9
Facility 4 to Customer 14: 7
Drone operational costs (L-type drones):
Facility 0 to Customer 0: 29
Facility 0 to Customer 1: 27
Facility 0 to Customer 2: 16
Facility 0 to Customer 3: 15
Facility 0 to Customer 4: 11
Facility 0 to Customer 5: 20
Facility 0 to Customer 6: 22
Facility 0 to Customer 7: 26
Facility 0 to Customer 8: 23
Facility 0 to Customer 9: 27
Facility 0 to Customer 10: 27
Facility 0 to Customer 11: 26
Facility 0 to Customer 12: 20
Facility 0 to Customer 13: 26
Facility 0 to Customer 14: 12
Facility 1 to Customer 0: 27
Facility 1 to Customer 1: 25
Facility 1 to Customer 2: 18
Facility 1 to Customer 3: 18
Facility 1 to Customer 4: 11
Facility 1 to Customer 5: 16
Facility 1 to Customer 6: 23
Facility 1 to Customer 7: 14
Facility 1 to Customer 8: 22
Facility 1 to Customer 9: 18
Facility 1 to Customer 10: 18
Facility 1 to Customer 11: 17
Facility 1 to Customer 12: 21
Facility 1 to Customer 13: 13
Facility 1 to Customer 14: 28
Facility 2 to Customer 0: 22
Facility 2 to Customer 1: 13
Facility 2 to Customer 2: 26
Facility 2 to Customer 3: 16
Facility 2 to Customer 4: 16
Facility 2 to Customer 5: 23
Facility 2 to Customer 6: 21
Facility 2 to Customer 7: 11
Facility 2 to Customer 8: 21
Facility 2 to Customer 9: 11
Facility 2 to Customer 10: 23
Facility 2 to Customer 11: 23
Facility 2 to Customer 12: 17
Facility 2 to Customer 13: 26
Facility 2 to Customer 14: 25
Facility 3 to Customer 0: 10
Facility 3 to Customer 1: 13
Facility 3 to Customer 2: 23
Facility 3 to Customer 3: 11
Facility 3 to Customer 4: 17
Facility 3 to Customer 5: 11
Facility 3 to Customer 6: 22
Facility 3 to Customer 7: 24
Facility 3 to Customer 8: 15
Facility 3 to Customer 9: 25
Facility 3 to Customer 10: 11
Facility 3 to Customer 11: 16
Facility 3 to Customer 12: 27
Facility 3 to Customer 13: 13
Facility 3 to Customer 14: 20
Facility 4 to Customer 0: 21
Facility 4 to Customer 1: 24
Facility 4 to Customer 2: 19
Facility 4 to Customer 3: 19
Facility 4 to Customer 4: 23
Facility 4 to Customer 5: 13
Facility 4 to Customer 6: 19
Facility 4 to Customer 7: 24
Facility 4 to Customer 8: 12
Facility 4 to Customer 9: 13
Facility 4 to Customer 10: 21
Facility 4 to Customer 11: 10
Facility 4 to Customer 12: 15
Facility 4 to Customer 13: 29
Facility 4 to Customer 14: 20
Facility capacities:
Facility 0: 5
Facility 1: 8
Facility 2: 5
Facility 3: 7
Facility 4: 6
Small drone payload capacity: 5
Large drone payload capacity: 12
Small drone max range: 13
Large drone max range: 26
Package weights:
Customer 0: 16
Customer 1: 15
Customer 2: 17
Customer 3: 11
Customer 4: 16
Customer 5: 18
Customer 6: 20
Customer 7: 20
Customer 8: 11
Customer 9: 15
Customer 10: 10
Customer 11: 12
Customer 12: 18
Customer 13: 12
Customer 14: 17
Number of S-type drones: 20
Number of L-type drones: 20
