Facility Location Problem Instance
Number of facilities: 10
Number of customers: 30
Grid size: 30x30
Facilities coordinates (x, y):
18, 15
16, 29
27, 16
5, 1
16, 2
27, 5
2, 19
2, 21
27, 7
12, 3
Customers coordinates (x, y):
28, 18
7, 18
19, 1
19, 2
13, 21
18, 18
16, 10
29, 8
6, 21
22, 10
7, 8
12, 4
21, 20
9, 14
10, 29
24, 29
2, 0
14, 19
18, 3
2, 17
6, 16
8, 4
29, 11
28, 2
28, 7
11, 9
5, 14
26, 17
22, 9
19, 25
Distances between facilities and customers:
Facility 0 to Customer 0: 10.44
Facility 0 to Customer 1: 11.40
Facility 0 to Customer 2: 14.04
Facility 0 to Customer 3: 13.04
Facility 0 to Customer 4: 7.81
Facility 0 to Customer 5: 3.00
Facility 0 to Customer 6: 5.39
Facility 0 to Customer 7: 13.04
Facility 0 to Customer 8: 13.42
Facility 0 to Customer 9: 6.40
Facility 0 to Customer 10: 13.04
Facility 0 to Customer 11: 12.53
Facility 0 to Customer 12: 5.83
Facility 0 to Customer 13: 9.06
Facility 0 to Customer 14: 16.12
Facility 0 to Customer 15: 15.23
Facility 0 to Customer 16: 21.93
Facility 0 to Customer 17: 5.66
Facility 0 to Customer 18: 12.00
Facility 0 to Customer 19: 16.12
Facility 0 to Customer 20: 12.04
Facility 0 to Customer 21: 14.87
Facility 0 to Customer 22: 11.70
Facility 0 to Customer 23: 16.40
Facility 0 to Customer 24: 12.81
Facility 0 to Customer 25: 9.22
Facility 0 to Customer 26: 13.04
Facility 0 to Customer 27: 8.25
Facility 0 to Customer 28: 7.21
Facility 0 to Customer 29: 10.05
Facility 1 to Customer 0: 16.28
Facility 1 to Customer 1: 14.21
Facility 1 to Customer 2: 28.16
Facility 1 to Customer 3: 27.17
Facility 1 to Customer 4: 8.54
Facility 1 to Customer 5: 11.18
Facility 1 to Customer 6: 19.00
Facility 1 to Customer 7: 24.70
Facility 1 to Customer 8: 12.81
Facility 1 to Customer 9: 19.92
Facility 1 to Customer 10: 22.85
