Facility Location Problem Instance
Number of facilities: 50
Number of customers: 80
Grid size: 200x200
Facilities coordinates (x, y):
148, 180
182, 144
187, 40
146, 60
142, 58
65, 6
49, 30
34, 122
10, 173
78, 48
38, 69
128, 181
72, 26
90, 69
86, 168
67, 82
108, 139
112, 161
72, 189
59, 98
33, 93
140, 102
100, 158
139, 69
168, 61
85, 59
193, 169
115, 57
2, 86
45, 48
193, 198
100, 158
86, 168
0, 184
158, 109
139, 35
37, 46
135, 175
78, 157
140, 160
161, 124
156, 123
161, 36
75, 88
110, 36
136, 127
97, 104
106, 181
76, 198
18, 23
Customers coordinates (x, y):
171, 168
95, 149
57, 83
177, 78
36, 158
170, 160
79, 179
188, 22
26, 151
1, 126
161, 13
108, 34
162, 193
118, 36
91, 176
6, 145
152, 16
31, 89
100, 146
109, 92
12, 20
125, 197
31, 30
16, 71
158, 0
155, 1
89, 3
67, 108
58, 92
168, 160
116, 109
196, 73
12, 95
162, 58
153, 140
33, 192
130, 67
81, 45
66, 167
29, 184
37, 67
50, 185
29, 40
156, 48
112, 153
138, 58
144, 169
85, 24
136, 83
193, 8
195, 104
102, 46
58, 198
137, 12
31, 44
46, 89
199, 65
7, 13
76, 13
194, 87
128, 184
9, 122
2, 5
15, 104
110, 161
170, 121
173, 70
147, 32
183, 41
45, 156
63, 40
112, 131
70, 28
19, 160
198, 113
109, 14
172, 113
37, 38
54, 113
127, 35
Distances between facilities and customers:
Facility 0 to Customer 0: 25.94
Facility 0 to Customer 1: 61.40
Facility 0 to Customer 2: 133.00
Facility 0 to Customer 3: 106.04
Facility 0 to Customer 4: 114.14
Facility 0 to Customer 5: 29.73
Facility 0 to Customer 6: 69.01
Facility 0 to Customer 7: 162.98
Facility 0 to Customer 8: 125.40
Facility 0 to Customer 9: 156.60
Facility 0 to Customer 10: 167.51
Facility 0 to Customer 11: 151.38
Facility 0 to Customer 12: 19.10
Facility 0 to Customer 13: 147.09
Facility 0 to Customer 14: 57.14
Facility 0 to Customer 15: 146.25
Facility 0 to Customer 16: 164.05
Facility 0 to Customer 17: 148.22
Facility 0 to Customer 18: 58.82
Facility 0 to Customer 19: 96.25
Facility 0 to Customer 20: 209.99
Facility 0 to Customer 21: 28.60
Facility 0 to Customer 22: 190.23
Facility 0 to Customer 23: 171.19
Facility 0 to Customer 24: 180.28
Facility 0 to Customer 25: 179.14
Facility 0 to Customer 26: 186.57
Facility 0 to Customer 27: 108.37
Facility 0 to Customer 28: 125.87
Facility 0 to Customer 29: 28.28
Facility 0 to Customer 30: 77.88
Facility 0 to Customer 31: 117.27
Facility 0 to Customer 32: 160.38
Facility 0 to Customer 33: 122.80
Facility 0 to Customer 34: 40.31
Facility 0 to Customer 35: 115.62
Facility 0 to Customer 36: 114.42
Facility 0 to Customer 37: 150.71
Facility 0 to Customer 38: 83.02
Facility 0 to Customer 39: 119.07
Facility 0 to Customer 40: 158.40
Facility 0 to Customer 41: 98.13
Facility 0 to Customer 42: 183.74
Facility 0 to Customer 43: 132.24
Facility 0 to Customer 44: 45.00
Facility 0 to Customer 45: 122.41
Facility 0 to Customer 46: 11.70
Facility 0 to Customer 47: 168.24
Facility 0 to Customer 48: 97.74
Facility 0 to Customer 49: 177.79
Facility 0 to Customer 50: 89.36
Facility 0 to Customer 51: 141.68
Facility 0 to Customer 52: 91.78
Facility 0 to Customer 53: 168.36
Facility 0 to Customer 54: 179.40
Facility 0 to Customer 55: 136.69
Facility 0 to Customer 56: 125.80
Facility 0 to Customer 57: 218.56
Facility 0 to Customer 58: 181.86
Facility 0 to Customer 59: 103.75
Facility 0 to Customer 60: 20.40
Facility 0 to Customer 61: 150.62
Facility 0 to Customer 62: 227.91
Facility 0 to Customer 63: 153.18
Facility 0 to Customer 64: 42.49
Facility 0 to Customer 65: 62.97
Facility 0 to Customer 66: 112.81
Facility 0 to Customer 67: 148.00
Facility 0 to Customer 68: 143.34
Facility 0 to Customer 69: 105.76
Facility 0 to Customer 70: 163.78
Facility 0 to Customer 71: 60.80
Facility 0 to Customer 72: 170.84
Facility 0 to Customer 73: 130.54
Facility 0 to Customer 74: 83.60
Facility 0 to Customer 75: 170.52
Facility 0 to Customer 76: 71.17
Facility 0 to Customer 77: 180.24
Facility 0 to Customer 78: 115.43
Facility 0 to Customer 79: 146.51
Facility 1 to Customer 0: 26.40
Facility 1 to Customer 1: 87.14
Facility 1 to Customer 2: 139.09
Facility 1 to Customer 3: 66.19
Facility 1 to Customer 4: 146.67
Facility 1 to Customer 5: 20.00
Facility 1 to Customer 6: 108.78
Facility 1 to Customer 7: 122.15
Facility 1 to Customer 8: 156.16
Facility 1 to Customer 9: 181.89
Facility 1 to Customer 10: 132.67
Facility 1 to Customer 11: 132.57
Facility 1 to Customer 12: 52.92
Facility 1 to Customer 13: 125.54
Facility 1 to Customer 14: 96.46
Facility 1 to Customer 15: 176.00
Facility 1 to Customer 16: 131.47
Facility 1 to Customer 17: 160.70
Facility 1 to Customer 18: 82.02
Facility 1 to Customer 19: 89.63
Facility 1 to Customer 20: 210.42
Facility 1 to Customer 21: 77.83
Facility 1 to Customer 22: 189.20
Facility 1 to Customer 23: 181.34
Facility 1 to Customer 24: 145.99
Facility 1 to Customer 25: 145.53
Facility 1 to Customer 26: 168.91
Facility 1 to Customer 27: 120.50
Facility 1 to Customer 28: 134.46
Facility 1 to Customer 29: 21.26
Facility 1 to Customer 30: 74.71
Facility 1 to Customer 31: 72.37
Facility 1 to Customer 32: 176.92
Facility 1 to Customer 33: 88.29
Facility 1 to Customer 34: 29.27
Facility 1 to Customer 35: 156.54
Facility 1 to Customer 36: 92.91
Facility 1 to Customer 37: 141.43
Facility 1 to Customer 38: 118.26
Facility 1 to Customer 39: 158.14
Facility 1 to Customer 40: 164.18
Facility 1 to Customer 41: 138.22
Facility 1 to Customer 42: 185.00
Facility 1 to Customer 43: 99.46
Facility 1 to Customer 44: 70.58
Facility 1 to Customer 45: 96.60
Facility 1 to Customer 46: 45.49
Facility 1 to Customer 47: 154.30
Facility 1 to Customer 48: 76.40
Facility 1 to Customer 49: 136.44
Facility 1 to Customer 50: 42.06
Facility 1 to Customer 51: 126.51
Facility 1 to Customer 52: 135.25
Facility 1 to Customer 53: 139.46
Facility 1 to Customer 54: 181.11
Facility 1 to Customer 55: 146.70
Facility 1 to Customer 56: 80.81
Facility 1 to Customer 57: 218.60
Facility 1 to Customer 58: 168.51
Facility 1 to Customer 59: 58.25
Facility 1 to Customer 60: 67.20
Facility 1 to Customer 61: 174.39
Facility 1 to Customer 62: 227.42
Facility 1 to Customer 63: 171.72
Facility 1 to Customer 64: 73.98
Facility 1 to Customer 65: 25.94
Facility 1 to Customer 66: 74.55
Facility 1 to Customer 67: 117.34
Facility 1 to Customer 68: 103.00
Facility 1 to Customer 69: 137.52
Facility 1 to Customer 70: 158.04
Facility 1 to Customer 71: 71.20
Facility 1 to Customer 72: 161.25
Facility 1 to Customer 73: 163.78
Facility 1 to Customer 74: 34.89
Facility 1 to Customer 75: 149.09
Facility 1 to Customer 76: 32.57
Facility 1 to Customer 77: 179.61
Facility 1 to Customer 78: 131.70
Facility 1 to Customer 79: 122.09
Facility 2 to Customer 0: 129.00
Facility 2 to Customer 1: 142.64
Facility 2 to Customer 2: 136.93
Facility 2 to Customer 3: 39.29
Facility 2 to Customer 4: 191.64
Facility 2 to Customer 5: 121.20
Facility 2 to Customer 6: 176.03
Facility 2 to Customer 7: 18.03
Facility 2 to Customer 8: 195.56
Facility 2 to Customer 9: 204.92
Facility 2 to Customer 10: 37.48
Facility 2 to Customer 11: 79.23
Facility 2 to Customer 12: 155.03
Facility 2 to Customer 13: 69.12
Facility 2 to Customer 14: 166.47
Facility 2 to Customer 15: 209.25
Facility 2 to Customer 16: 42.44
Facility 2 to Customer 17: 163.51
Facility 2 to Customer 18: 137.13
Facility 2 to Customer 19: 93.74
Facility 2 to Customer 20: 176.14
Facility 2 to Customer 21: 168.80
Facility 2 to Customer 22: 156.32
Facility 2 to Customer 23: 173.79
Facility 2 to Customer 24: 49.41
Facility 2 to Customer 25: 50.45
Facility 2 to Customer 26: 104.75
Facility 2 to Customer 27: 137.93
Facility 2 to Customer 28: 139.09
Facility 2 to Customer 29: 121.49
Facility 2 to Customer 30: 99.01
Facility 2 to Customer 31: 34.21
Facility 2 to Customer 32: 183.44
Facility 2 to Customer 33: 30.81
Facility 2 to Customer 34: 105.62
Facility 2 to Customer 35: 216.38
Facility 2 to Customer 36: 63.07
Facility 2 to Customer 37: 106.12
Facility 2 to Customer 38: 175.41
Facility 2 to Customer 39: 213.78
Facility 2 to Customer 40: 152.41
Facility 2 to Customer 41: 199.48
Facility 2 to Customer 42: 158.00
Facility 2 to Customer 43: 32.02
Facility 2 to Customer 44: 135.62
Facility 2 to Customer 45: 52.20
Facility 2 to Customer 46: 135.98
Facility 2 to Customer 47: 103.25
Facility 2 to Customer 48: 66.71
Facility 2 to Customer 49: 32.56
Facility 2 to Customer 50: 64.50
Facility 2 to Customer 51: 85.21
Facility 2 to Customer 52: 203.97
Facility 2 to Customer 53: 57.31
Facility 2 to Customer 54: 156.05
Facility 2 to Customer 55: 149.27
Facility 2 to Customer 56: 27.73
Facility 2 to Customer 57: 182.01
Facility 2 to Customer 58: 114.24
Facility 2 to Customer 59: 47.52
Facility 2 to Customer 60: 155.62
Facility 2 to Customer 61: 195.98
Facility 2 to Customer 62: 188.28
Facility 2 to Customer 63: 183.52
Facility 2 to Customer 64: 143.42
Facility 2 to Customer 65: 82.76
Facility 2 to Customer 66: 33.11
Facility 2 to Customer 67: 40.79
Facility 2 to Customer 68: 4.12
Facility 2 to Customer 69: 183.36
Facility 2 to Customer 70: 124.00
Facility 2 to Customer 71: 117.92
Facility 2 to Customer 72: 117.61
Facility 2 to Customer 73: 206.46
Facility 2 to Customer 74: 73.82
Facility 2 to Customer 75: 82.22
Facility 2 to Customer 76: 74.53
Facility 2 to Customer 77: 150.01
Facility 2 to Customer 78: 151.72
Facility 2 to Customer 79: 60.21
Facility 3 to Customer 0: 110.86
Facility 3 to Customer 1: 102.58
Facility 3 to Customer 2: 91.92
Facility 3 to Customer 3: 35.85
Facility 3 to Customer 4: 147.32
Facility 3 to Customer 5: 102.84
Facility 3 to Customer 6: 136.57
Facility 3 to Customer 7: 56.64
Facility 3 to Customer 8: 150.60
Facility 3 to Customer 9: 159.31
Facility 3 to Customer 10: 49.34
Facility 3 to Customer 11: 46.04
Facility 3 to Customer 12: 133.96
Facility 3 to Customer 13: 36.88
Facility 3 to Customer 14: 128.38
Facility 3 to Customer 15: 163.78
Facility 3 to Customer 16: 44.41
Facility 3 to Customer 17: 118.60
Facility 3 to Customer 18: 97.53
Facility 3 to Customer 19: 48.92
Facility 3 to Customer 20: 139.84
Facility 3 to Customer 21: 138.60
Facility 3 to Customer 22: 118.85
Facility 3 to Customer 23: 130.46
Facility 3 to Customer 24: 61.19
Facility 3 to Customer 25: 59.68
Facility 3 to Customer 26: 80.61
Facility 3 to Customer 27: 92.44
Facility 3 to Customer 28: 93.64
Facility 3 to Customer 29: 102.39
Facility 3 to Customer 30: 57.45
Facility 3 to Customer 31: 51.66
Facility 3 to Customer 32: 138.50
Facility 3 to Customer 33: 16.12
Facility 3 to Customer 34: 80.31
Facility 3 to Customer 35: 173.76
Facility 3 to Customer 36: 17.46
Facility 3 to Customer 37: 66.71
Facility 3 to Customer 38: 133.60
Facility 3 to Customer 39: 170.48
Facility 3 to Customer 40: 109.22
Facility 3 to Customer 41: 157.61
Facility 3 to Customer 42: 118.70
Facility 3 to Customer 43: 15.62
Facility 3 to Customer 44: 99.02
Facility 3 to Customer 45: 8.25
Facility 3 to Customer 46: 109.02
Facility 3 to Customer 47: 70.83
Facility 3 to Customer 48: 25.08
Facility 3 to Customer 49: 70.09
Facility 3 to Customer 50: 65.86
Facility 3 to Customer 51: 46.17
Facility 3 to Customer 52: 163.67
Facility 3 to Customer 53: 48.84
Facility 3 to Customer 54: 116.11
Facility 3 to Customer 55: 104.12
Facility 3 to Customer 56: 53.24
Facility 3 to Customer 57: 146.73
Facility 3 to Customer 58: 84.31
Facility 3 to Customer 59: 55.07
Facility 3 to Customer 60: 125.30
Facility 3 to Customer 61: 150.38
Facility 3 to Customer 62: 154.15
Facility 3 to Customer 63: 138.19
Facility 3 to Customer 64: 107.22
Facility 3 to Customer 65: 65.55
Facility 3 to Customer 66: 28.79
Facility 3 to Customer 67: 28.02
Facility 3 to Customer 68: 41.59
Facility 3 to Customer 69: 139.34
Facility 3 to Customer 70: 85.38
Facility 3 to Customer 71: 78.72
Facility 3 to Customer 72: 82.46
Facility 3 to Customer 73: 161.64
Facility 3 to Customer 74: 74.25
Facility 3 to Customer 75: 59.03
Facility 3 to Customer 76: 59.03
Facility 3 to Customer 77: 111.20
Facility 3 to Customer 78: 106.17
Facility 3 to Customer 79: 31.40
Facility 4 to Customer 0: 113.76
Facility 4 to Customer 1: 102.42
Facility 4 to Customer 2: 88.60
Facility 4 to Customer 3: 40.31
Facility 4 to Customer 4: 145.73
Facility 4 to Customer 5: 105.77
Facility 4 to Customer 6: 136.42
Facility 4 to Customer 7: 58.41
Facility 4 to Customer 8: 148.68
Facility 4 to Customer 9: 156.54
Facility 4 to Customer 10: 48.85
Facility 4 to Customer 11: 41.62
Facility 4 to Customer 12: 136.47
Facility 4 to Customer 13: 32.56
Facility 4 to Customer 14: 128.55
Facility 4 to Customer 15: 161.45
Facility 4 to Customer 16: 43.17
Facility 4 to Customer 17: 115.25
Facility 4 to Customer 18: 97.51
