Facility Location Problem Instance
Number of facilities: 30
Number of customers: 20
Grid size: 15x15
Facilities coordinates (x, y):
4, 4
13, 0
4, 9
9, 11
6, 10
6, 10
2, 8
13, 6
10, 2
0, 9
1, 7
0, 14
14, 4
10, 1
9, 12
6, 3
9, 1
4, 2
1, 1
10, 12
5, 13
11, 6
0, 12
3, 1
2, 4
5, 8
1, 7
5, 6
8, 1
12, 8
Customers coordinates (x, y):
3, 5
7, 1
2, 10
11, 0
11, 1
12, 3
4, 13
13, 3
13, 4
13, 0
3, 2
6, 1
8, 14
9, 3
11, 4
8, 10
13, 12
5, 9
0, 4
0, 0
Distances between facilities and customers:
Facility 0 to Customer 0: 1.41
Facility 0 to Customer 1: 4.24
Facility 0 to Customer 2: 6.32
Facility 0 to Customer 3: 8.06
Facility 0 to Customer 4: 7.62
Facility 0 to Customer 5: 8.06
Facility 0 to Customer 6: 9.00
Facility 0 to Customer 7: 9.06
Facility 0 to Customer 8: 9.00
Facility 0 to Customer 9: 9.85
Facility 0 to Customer 10: 2.24
Facility 0 to Customer 11: 3.61
Facility 0 to Customer 12: 10.77
Facility 0 to Customer 13: 5.10
Facility 0 to Customer 14: 7.00
Facility 0 to Customer 15: 7.21
Facility 0 to Customer 16: 12.04
Facility 0 to Customer 17: 5.10
Facility 0 to Customer 18: 4.00
Facility 0 to Customer 19: 5.66
Facility 1 to Customer 0: 11.18
Facility 1 to Customer 1: 6.08
Facility 1 to Customer 2: 14.87
Facility 1 to Customer 3: 2.00
Facility 1 to Customer 4: 2.24
Facility 1 to Customer 5: 3.16
Facility 1 to Customer 6: 15.81
Facility 1 to Customer 7: 3.00
Facility 1 to Customer 8: 4.00
Facility 1 to Customer 9: 0.00
Facility 1 to Customer 10: 10.20
Facility 1 to Customer 11: 7.07
Facility 1 to Customer 12: 14.87
Facility 1 to Customer 13: 5.00
Facility 1 to Customer 14: 4.47
Facility 1 to Customer 15: 11.18
Facility 1 to Customer 16: 12.00
Facility 1 to Customer 17: 12.04
Facility 1 to Customer 18: 13.60
Facility 1 to Customer 19: 13.00
Facility 2 to Customer 0: 4.12
Facility 2 to Customer 1: 8.54
Facility 2 to Customer 2: 2.24
Facility 2 to Customer 3: 11.40
Facility 2 to Customer 4: 10.63
Facility 2 to Customer 5: 10.00
Facility 2 to Customer 6: 4.00
Facility 2 to Customer 7: 10.82
Facility 2 to Customer 8: 10.30
Facility 2 to Customer 9: 12.73
Facility 2 to Customer 10: 7.07
Facility 2 to Customer 11: 8.25
Facility 2 to Customer 12: 6.40
Facility 2 to Customer 13: 7.81
Facility 2 to Customer 14: 8.60
Facility 2 to Customer 15: 4.12
Facility 2 to Customer 16: 9.49
Facility 2 to Customer 17: 1.00
Facility 2 to Customer 18: 6.40
Facility 2 to Customer 19: 9.85
Facility 3 to Customer 0: 8.49
Facility 3 to Customer 1: 10.20
Facility 3 to Customer 2: 7.07
Facility 3 to Customer 3: 11.18
Facility 3 to Customer 4: 10.20
Facility 3 to Customer 5: 8.54
Facility 3 to Customer 6: 5.39
Facility 3 to Customer 7: 8.94
Facility 3 to Customer 8: 8.06
Facility 3 to Customer 9: 11.70
Facility 3 to Customer 10: 10.82
Facility 3 to Customer 11: 10.44
Facility 3 to Customer 12: 3.16
Facility 3 to Customer 13: 8.00
Facility 3 to Customer 14: 7.28
Facility 3 to Customer 15: 1.41
Facility 3 to Customer 16: 4.12
Facility 3 to Customer 17: 4.47
Facility 3 to Customer 18: 11.40
Facility 3 to Customer 19: 14.21
Facility 4 to Customer 0: 5.83
Facility 4 to Customer 1: 9.06
Facility 4 to Customer 2: 4.00
Facility 4 to Customer 3: 11.18
Facility 4 to Customer 4: 10.30
Facility 4 to Customer 5: 9.22
Facility 4 to Customer 6: 3.61
Facility 4 to Customer 7: 9.90
Facility 4 to Customer 8: 9.22
Facility 4 to Customer 9: 12.21
Facility 4 to Customer 10: 8.54
Facility 4 to Customer 11: 9.00
Facility 4 to Customer 12: 4.47
Facility 4 to Customer 13: 7.62
Facility 4 to Customer 14: 7.81
Facility 4 to Customer 15: 2.00
Facility 4 to Customer 16: 7.28
Facility 4 to Customer 17: 1.41
Facility 4 to Customer 18: 8.49
Facility 4 to Customer 19: 11.66
Facility 5 to Customer 0: 5.83
Facility 5 to Customer 1: 9.06
Facility 5 to Customer 2: 4.00
Facility 5 to Customer 3: 11.18
Facility 5 to Customer 4: 10.30
Facility 5 to Customer 5: 9.22
Facility 5 to Customer 6: 3.61
Facility 5 to Customer 7: 9.90
Facility 5 to Customer 8: 9.22
Facility 5 to Customer 9: 12.21
Facility 5 to Customer 10: 8.54
Facility 5 to Customer 11: 9.00
Facility 5 to Customer 12: 4.47
Facility 5 to Customer 13: 7.62
Facility 5 to Customer 14: 7.81
Facility 5 to Customer 15: 2.00
Facility 5 to Customer 16: 7.28
Facility 5 to Customer 17: 1.41
Facility 5 to Customer 18: 8.49
Facility 5 to Customer 19: 11.66
Facility 6 to Customer 0: 3.16
Facility 6 to Customer 1: 8.60
Facility 6 to Customer 2: 2.00
Facility 6 to Customer 3: 12.04
Facility 6 to Customer 4: 11.40
Facility 6 to Customer 5: 11.18
Facility 6 to Customer 6: 5.39
Facility 6 to Customer 7: 12.08
Facility 6 to Customer 8: 11.70
Facility 6 to Customer 9: 13.60
Facility 6 to Customer 10: 6.08
Facility 6 to Customer 11: 8.06
Facility 6 to Customer 12: 8.49
Facility 6 to Customer 13: 8.60
Facility 6 to Customer 14: 9.85
Facility 6 to Customer 15: 6.32
Facility 6 to Customer 16: 11.70
Facility 6 to Customer 17: 3.16
Facility 6 to Customer 18: 4.47
Facility 6 to Customer 19: 8.25
Facility 7 to Customer 0: 10.05
Facility 7 to Customer 1: 7.81
Facility 7 to Customer 2: 11.70
Facility 7 to Customer 3: 6.32
Facility 7 to Customer 4: 5.39
Facility 7 to Customer 5: 3.16
Facility 7 to Customer 6: 11.40
Facility 7 to Customer 7: 3.00
Facility 7 to Customer 8: 2.00
Facility 7 to Customer 9: 6.00
Facility 7 to Customer 10: 10.77
Facility 7 to Customer 11: 8.60
Facility 7 to Customer 12: 9.43
Facility 7 to Customer 13: 5.00
Facility 7 to Customer 14: 2.83
Facility 7 to Customer 15: 6.40
Facility 7 to Customer 16: 6.00
Facility 7 to Customer 17: 8.54
Facility 7 to Customer 18: 13.15
Facility 7 to Customer 19: 14.32
Facility 8 to Customer 0: 7.62
Facility 8 to Customer 1: 3.16
Facility 8 to Customer 2: 11.31
Facility 8 to Customer 3: 2.24
Facility 8 to Customer 4: 1.41
Facility 8 to Customer 5: 2.24
Facility 8 to Customer 6: 12.53
Facility 8 to Customer 7: 3.16
Facility 8 to Customer 8: 3.61
Facility 8 to Customer 9: 3.61
Facility 8 to Customer 10: 7.00
Facility 8 to Customer 11: 4.12
Facility 8 to Customer 12: 12.17
Facility 8 to Customer 13: 1.41
Facility 8 to Customer 14: 2.24
Facility 8 to Customer 15: 8.25
Facility 8 to Customer 16: 10.44
Facility 8 to Customer 17: 8.60
Facility 8 to Customer 18: 10.20
Facility 8 to Customer 19: 10.20
Facility 9 to Customer 0: 5.00
Facility 9 to Customer 1: 10.63
Facility 9 to Customer 2: 2.24
Facility 9 to Customer 3: 14.21
Facility 9 to Customer 4: 13.60
Facility 9 to Customer 5: 13.42
Facility 9 to Customer 6: 5.66
Facility 9 to Customer 7: 14.32
Facility 9 to Customer 8: 13.93
Facility 9 to Customer 9: 15.81
Facility 9 to Customer 10: 7.62
Facility 9 to Customer 11: 10.00
Facility 9 to Customer 12: 9.43
Facility 9 to Customer 13: 10.82
Facility 9 to Customer 14: 12.08
Facility 9 to Customer 15: 8.06
Facility 9 to Customer 16: 13.34
Facility 9 to Customer 17: 5.00
Facility 9 to Customer 18: 5.00
