Facility Location Problem Instance
Number of facilities: 40
Number of customers: 30
Grid size: 20x20
Facilities coordinates (x, y):
19, 18
5, 11
17, 15
7, 19
7, 3
16, 9
3, 18
17, 4
2, 18
2, 8
19, 18
14, 0
2, 10
11, 14
19, 13
11, 0
6, 2
17, 2
12, 13
5, 15
18, 11
7, 10
1, 7
9, 19
15, 1
12, 3
6, 12
19, 16
10, 1
9, 7
11, 16
12, 14
18, 10
11, 14
1, 12
11, 17
13, 11
12, 5
19, 9
3, 3
Customers coordinates (x, y):
13, 1
0, 9
13, 3
2, 6
16, 9
12, 8
11, 3
16, 6
17, 3
0, 1
4, 0
10, 13
9, 2
12, 12
18, 2
0, 6
19, 14
7, 19
10, 17
10, 17
5, 7
3, 3
7, 0
5, 6
15, 15
2, 3
12, 0
12, 1
12, 19
6, 13
Distances between facilities and customers:
Facility 0 to Customer 0: 18.03
Facility 0 to Customer 1: 21.02
Facility 0 to Customer 2: 16.16
Facility 0 to Customer 3: 20.81
Facility 0 to Customer 4: 9.49
Facility 0 to Customer 5: 12.21
Facility 0 to Customer 6: 17.00
Facility 0 to Customer 7: 12.37
Facility 0 to Customer 8: 15.13
Facility 0 to Customer 9: 25.50
Facility 0 to Customer 10: 23.43
Facility 0 to Customer 11: 10.30
Facility 0 to Customer 12: 18.87
Facility 0 to Customer 13: 9.22
Facility 0 to Customer 14: 16.03
Facility 0 to Customer 15: 22.47
Facility 0 to Customer 16: 4.00
Facility 0 to Customer 17: 12.04
Facility 0 to Customer 18: 9.06
Facility 0 to Customer 19: 9.06
Facility 0 to Customer 20: 17.80
Facility 0 to Customer 21: 21.93
Facility 0 to Customer 22: 21.63
Facility 0 to Customer 23: 18.44
Facility 0 to Customer 24: 5.00
Facility 0 to Customer 25: 22.67
Facility 0 to Customer 26: 19.31
Facility 0 to Customer 27: 18.38
Facility 0 to Customer 28: 7.07
Facility 0 to Customer 29: 13.93
Facility 1 to Customer 0: 12.81
Facility 1 to Customer 1: 5.39
Facility 1 to Customer 2: 11.31
Facility 1 to Customer 3: 5.83
Facility 1 to Customer 4: 11.18
Facility 1 to Customer 5: 7.62
Facility 1 to Customer 6: 10.00
Facility 1 to Customer 7: 12.08
Facility 1 to Customer 8: 14.42
Facility 1 to Customer 9: 11.18
Facility 1 to Customer 10: 11.05
