Facility Location Problem Instance
Number of facilities: 12
Number of customers: 18
Grid size: 400x400
Facilities coordinates (x, y):
316, 235
353, 185
45, 223
54, 124
223, 301
205, 268
40, 202
158, 381
173, 113
170, 398
86, 39
261, 324
Customers coordinates (x, y):
58, 271
261, 99
397, 178
179, 372
330, 75
120, 52
74, 131
101, 88
308, 78
389, 388
335, 38
90, 395
321, 252
237, 386
288, 389
296, 229
348, 289
329, 325
Distances between facilities and customers:
Facility 0 to Customer 0: 260.50
Facility 0 to Customer 1: 146.70
Facility 0 to Customer 2: 99.05
Facility 0 to Customer 3: 193.75
Facility 0 to Customer 4: 160.61
Facility 0 to Customer 5: 268.15
Facility 0 to Customer 6: 263.40
Facility 0 to Customer 7: 260.45
Facility 0 to Customer 8: 157.20
Facility 0 to Customer 9: 169.52
Facility 0 to Customer 10: 197.91
Facility 0 to Customer 11: 276.90
Facility 0 to Customer 12: 17.72
Facility 0 to Customer 13: 170.42
Facility 0 to Customer 14: 156.52
Facility 0 to Customer 15: 20.88
Facility 0 to Customer 16: 62.77
Facility 0 to Customer 17: 90.93
Facility 1 to Customer 0: 307.28
Facility 1 to Customer 1: 125.94
Facility 1 to Customer 2: 44.55
Facility 1 to Customer 3: 255.43
Facility 1 to Customer 4: 112.38
Facility 1 to Customer 5: 268.29
Facility 1 to Customer 6: 284.18
Facility 1 to Customer 7: 270.02
Facility 1 to Customer 8: 116.08
Facility 1 to Customer 9: 206.17
Facility 1 to Customer 10: 148.10
Facility 1 to Customer 11: 336.55
Facility 1 to Customer 12: 74.25
Facility 1 to Customer 13: 232.07
Facility 1 to Customer 14: 214.11
Facility 1 to Customer 15: 72.01
Facility 1 to Customer 16: 104.12
Facility 1 to Customer 17: 142.04
Facility 2 to Customer 0: 49.73
Facility 2 to Customer 1: 249.06
Facility 2 to Customer 2: 354.86
Facility 2 to Customer 3: 200.39
Facility 2 to Customer 4: 321.14
Facility 2 to Customer 5: 186.72
Facility 2 to Customer 6: 96.46
Facility 2 to Customer 7: 146.15
Facility 2 to Customer 8: 300.32
Facility 2 to Customer 9: 381.52
Facility 2 to Customer 10: 343.98
