Facility Location Problem Instance
Number of facilities: 20
Number of customers: 25
Grid size: 80x80
Facilities coordinates (x, y):
24, 74
9, 13
73, 25
43, 57
72, 28
18, 66
30, 45
67, 5
79, 15
70, 13
64, 76
24, 56
7, 18
3, 7
73, 56
53, 64
68, 50
0, 64
8, 79
60, 76
Customers coordinates (x, y):
18, 29
42, 3
31, 32
56, 69
0, 50
11, 32
46, 32
44, 10
55, 52
69, 1
15, 40
22, 79
5, 65
56, 36
23, 76
54, 51
52, 15
1, 45
12, 19
55, 78
12, 11
68, 56
65, 28
23, 9
53, 46
Distances between facilities and customers:
Facility 0 to Customer 0: 45.40
Facility 0 to Customer 1: 73.25
Facility 0 to Customer 2: 42.58
Facility 0 to Customer 3: 32.39
Facility 0 to Customer 4: 33.94
Facility 0 to Customer 5: 43.97
Facility 0 to Customer 6: 47.41
Facility 0 to Customer 7: 67.05
Facility 0 to Customer 8: 38.01
Facility 0 to Customer 9: 85.76
Facility 0 to Customer 10: 35.17
Facility 0 to Customer 11: 5.39
Facility 0 to Customer 12: 21.02
Facility 0 to Customer 13: 49.68
Facility 0 to Customer 14: 2.24
Facility 0 to Customer 15: 37.80
Facility 0 to Customer 16: 65.31
Facility 0 to Customer 17: 37.01
Facility 0 to Customer 18: 56.29
Facility 0 to Customer 19: 31.26
Facility 0 to Customer 20: 64.13
Facility 0 to Customer 21: 47.54
Facility 0 to Customer 22: 61.62
Facility 0 to Customer 23: 65.01
Facility 0 to Customer 24: 40.31
Facility 1 to Customer 0: 18.36
Facility 1 to Customer 1: 34.48
Facility 1 to Customer 2: 29.07
Facility 1 to Customer 3: 73.11
Facility 1 to Customer 4: 38.08
Facility 1 to Customer 5: 19.10
Facility 1 to Customer 6: 41.59
Facility 1 to Customer 7: 35.13
Facility 1 to Customer 8: 60.31
Facility 1 to Customer 9: 61.19
Facility 1 to Customer 10: 27.66
Facility 1 to Customer 11: 67.27
Facility 1 to Customer 12: 52.15
Facility 1 to Customer 13: 52.33
Facility 1 to Customer 14: 64.54
Facility 1 to Customer 15: 58.90
Facility 1 to Customer 16: 43.05
Facility 1 to Customer 17: 32.98
Facility 1 to Customer 18: 6.71
Facility 1 to Customer 19: 79.63
Facility 1 to Customer 20: 3.61
Facility 1 to Customer 21: 73.01
Facility 1 to Customer 22: 57.97
Facility 1 to Customer 23: 14.56
Facility 1 to Customer 24: 55.00
Facility 2 to Customer 0: 55.15
Facility 2 to Customer 1: 38.01
Facility 2 to Customer 2: 42.58
Facility 2 to Customer 3: 47.17
Facility 2 to Customer 4: 77.16
Facility 2 to Customer 5: 62.39
Facility 2 to Customer 6: 27.89
Facility 2 to Customer 7: 32.65
Facility 2 to Customer 8: 32.45
Facility 2 to Customer 9: 24.33
Facility 2 to Customer 10: 59.91
Facility 2 to Customer 11: 74.28
Facility 2 to Customer 12: 78.89
Facility 2 to Customer 13: 20.25
Facility 2 to Customer 14: 71.42
Facility 2 to Customer 15: 32.20
Facility 2 to Customer 16: 23.26
Facility 2 to Customer 17: 74.73
Facility 2 to Customer 18: 61.29
Facility 2 to Customer 19: 55.97
Facility 2 to Customer 20: 62.59
Facility 2 to Customer 21: 31.40
Facility 2 to Customer 22: 8.54
Facility 2 to Customer 23: 52.50
Facility 2 to Customer 24: 29.00
Facility 3 to Customer 0: 37.54
Facility 3 to Customer 1: 54.01
Facility 3 to Customer 2: 27.73
Facility 3 to Customer 3: 17.69
Facility 3 to Customer 4: 43.57
Facility 3 to Customer 5: 40.61
Facility 3 to Customer 6: 25.18
Facility 3 to Customer 7: 47.01
Facility 3 to Customer 8: 13.00
Facility 3 to Customer 9: 61.74
Facility 3 to Customer 10: 32.76
Facility 3 to Customer 11: 30.41
Facility 3 to Customer 12: 38.83
Facility 3 to Customer 13: 24.70
Facility 3 to Customer 14: 27.59
Facility 3 to Customer 15: 12.53
Facility 3 to Customer 16: 42.95
Facility 3 to Customer 17: 43.68
Facility 3 to Customer 18: 49.04
Facility 3 to Customer 19: 24.19
Facility 3 to Customer 20: 55.47
Facility 3 to Customer 21: 25.02
Facility 3 to Customer 22: 36.40
Facility 3 to Customer 23: 52.00
Facility 3 to Customer 24: 14.87
Facility 4 to Customer 0: 54.01
Facility 4 to Customer 1: 39.05
Facility 4 to Customer 2: 41.19
Facility 4 to Customer 3: 44.01
Facility 4 to Customer 4: 75.29
Facility 4 to Customer 5: 61.13
Facility 4 to Customer 6: 26.31
Facility 4 to Customer 7: 33.29
Facility 4 to Customer 8: 29.41
Facility 4 to Customer 9: 27.17
Facility 4 to Customer 10: 58.25
Facility 4 to Customer 11: 71.42
Facility 4 to Customer 12: 76.54
Facility 4 to Customer 13: 17.89
Facility 4 to Customer 14: 68.59
Facility 4 to Customer 15: 29.21
Facility 4 to Customer 16: 23.85
Facility 4 to Customer 17: 73.01
Facility 4 to Customer 18: 60.67
Facility 4 to Customer 19: 52.81
Facility 4 to Customer 20: 62.36
