Facility Location Problem Instance
Number of facilities: 12
Number of customers: 20
Grid size: 500x500
Facilities coordinates (x, y):
106, 287
166, 339
244, 269
192, 160
489, 88
235, 467
272, 175
279, 181
346, 395
444, 369
348, 329
411, 354
Customers coordinates (x, y):
135, 312
247, 98
490, 126
142, 285
152, 115
482, 498
152, 394
147, 360
106, 353
360, 250
162, 245
178, 286
478, 478
407, 369
140, 147
62, 293
346, 278
194, 458
202, 419
176, 488
Distances between facilities and customers:
Facility 0 to Customer 0: 38.29
Facility 0 to Customer 1: 235.80
Facility 0 to Customer 2: 416.39
Facility 0 to Customer 3: 36.06
Facility 0 to Customer 4: 178.04
Facility 0 to Customer 5: 431.16
Facility 0 to Customer 6: 116.47
Facility 0 to Customer 7: 83.73
Facility 0 to Customer 8: 66.00
Facility 0 to Customer 9: 256.68
Facility 0 to Customer 10: 70.00
Facility 0 to Customer 11: 72.01
Facility 0 to Customer 12: 418.17
Facility 0 to Customer 13: 311.97
Facility 0 to Customer 14: 144.07
Facility 0 to Customer 15: 44.41
Facility 0 to Customer 16: 240.17
Facility 0 to Customer 17: 192.31
Facility 0 to Customer 18: 163.22
Facility 0 to Customer 19: 212.84
Facility 1 to Customer 0: 41.11
Facility 1 to Customer 1: 254.25
Facility 1 to Customer 2: 387.74
Facility 1 to Customer 3: 59.09
Facility 1 to Customer 4: 224.44
Facility 1 to Customer 5: 353.75
Facility 1 to Customer 6: 56.75
Facility 1 to Customer 7: 28.32
Facility 1 to Customer 8: 61.61
Facility 1 to Customer 9: 213.44
Facility 1 to Customer 10: 94.09
Facility 1 to Customer 11: 54.34
Facility 1 to Customer 12: 341.56
Facility 1 to Customer 13: 242.86
Facility 1 to Customer 14: 193.75
Facility 1 to Customer 15: 113.72
Facility 1 to Customer 16: 190.06
Facility 1 to Customer 17: 122.25
Facility 1 to Customer 18: 87.73
Facility 1 to Customer 19: 149.34
Facility 2 to Customer 0: 117.18
Facility 2 to Customer 1: 171.03
Facility 2 to Customer 2: 284.54
Facility 2 to Customer 3: 103.25
Facility 2 to Customer 4: 179.39
Facility 2 to Customer 5: 330.28
Facility 2 to Customer 6: 155.21
Facility 2 to Customer 7: 133.00
Facility 2 to Customer 8: 161.55
Facility 2 to Customer 9: 117.55
Facility 2 to Customer 10: 85.44
Facility 2 to Customer 11: 68.15
Facility 2 to Customer 12: 313.75
Facility 2 to Customer 13: 191.23
Facility 2 to Customer 14: 160.31
Facility 2 to Customer 15: 183.58
Facility 2 to Customer 16: 102.40
Facility 2 to Customer 17: 195.50
Facility 2 to Customer 18: 155.77
Facility 2 to Customer 19: 229.31
Facility 3 to Customer 0: 162.34
Facility 3 to Customer 1: 82.88
Facility 3 to Customer 2: 299.93
Facility 3 to Customer 3: 134.63
Facility 3 to Customer 4: 60.21
Facility 3 to Customer 5: 445.36
Facility 3 to Customer 6: 237.39
Facility 3 to Customer 7: 205.00
Facility 3 to Customer 8: 211.29
Facility 3 to Customer 9: 190.59
Facility 3 to Customer 10: 90.14
Facility 3 to Customer 11: 126.78
Facility 3 to Customer 12: 427.69
Facility 3 to Customer 13: 299.84
Facility 3 to Customer 14: 53.60
Facility 3 to Customer 15: 185.98
Facility 3 to Customer 16: 194.01
Facility 3 to Customer 17: 298.01
Facility 3 to Customer 18: 259.19
Facility 3 to Customer 19: 328.39
Facility 4 to Customer 0: 418.92
Facility 4 to Customer 1: 242.21
Facility 4 to Customer 2: 38.01
Facility 4 to Customer 3: 399.02
Facility 4 to Customer 4: 338.08
Facility 4 to Customer 5: 410.06
Facility 4 to Customer 6: 455.20
Facility 4 to Customer 7: 436.98
Facility 4 to Customer 8: 465.74
Facility 4 to Customer 9: 207.09
Facility 4 to Customer 10: 362.74
Facility 4 to Customer 11: 368.68
