Facility Location Problem Instance
Number of facilities: 14
Number of customers: 22
Grid size: 600x600
Facilities coordinates (x, y):
135, 89
191, 441
459, 570
568, 524
417, 105
26, 91
362, 567
95, 332
394, 12
298, 423
397, 86
572, 248
585, 533
173, 389
Customers coordinates (x, y):
173, 142
275, 308
274, 504
149, 64
171, 445
282, 431
306, 495
78, 369
257, 252
507, 200
468, 109
138, 311
6, 405
340, 389
337, 450
342, 440
139, 307
328, 205
490, 321
181, 407
326, 298
502, 589
Distances between facilities and customers:
Facility 0 to Customer 0: 65.22
Facility 0 to Customer 1: 259.92
Facility 0 to Customer 2: 437.66
Facility 0 to Customer 3: 28.65
Facility 0 to Customer 4: 357.82
Facility 0 to Customer 5: 372.25
Facility 0 to Customer 6: 440.54
Facility 0 to Customer 7: 285.74
Facility 0 to Customer 8: 203.60
Facility 0 to Customer 9: 388.21
Facility 0 to Customer 10: 333.60
Facility 0 to Customer 11: 222.02
Facility 0 to Customer 12: 341.32
Facility 0 to Customer 13: 363.35
Facility 0 to Customer 14: 413.67
Facility 0 to Customer 15: 407.49
Facility 0 to Customer 16: 218.04
Facility 0 to Customer 17: 225.18
Facility 0 to Customer 18: 424.09
Facility 0 to Customer 19: 321.31
Facility 0 to Customer 20: 283.13
Facility 0 to Customer 21: 620.23
Facility 1 to Customer 0: 299.54
Facility 1 to Customer 1: 157.31
Facility 1 to Customer 2: 104.20
Facility 1 to Customer 3: 379.33
Facility 1 to Customer 4: 20.40
Facility 1 to Customer 5: 91.55
Facility 1 to Customer 6: 127.05
Facility 1 to Customer 7: 133.99
Facility 1 to Customer 8: 200.19
Facility 1 to Customer 9: 397.41
Facility 1 to Customer 10: 432.38
Facility 1 to Customer 11: 140.39
Facility 1 to Customer 12: 188.47
Facility 1 to Customer 13: 157.81
Facility 1 to Customer 14: 146.28
Facility 1 to Customer 15: 151.00
Facility 1 to Customer 16: 143.74
Facility 1 to Customer 17: 272.88
Facility 1 to Customer 18: 322.18
Facility 1 to Customer 19: 35.44
Facility 1 to Customer 20: 196.66
Facility 1 to Customer 21: 344.42
Facility 2 to Customer 0: 514.76
Facility 2 to Customer 1: 320.16
Facility 2 to Customer 2: 196.42
Facility 2 to Customer 3: 593.41
Facility 2 to Customer 4: 313.96
Facility 2 to Customer 5: 225.06
Facility 2 to Customer 6: 170.39
Facility 2 to Customer 7: 430.77
Facility 2 to Customer 8: 376.73
Facility 2 to Customer 9: 373.10
Facility 2 to Customer 10: 461.09
Facility 2 to Customer 11: 412.46
Facility 2 to Customer 12: 482.11
Facility 2 to Customer 13: 216.61
Facility 2 to Customer 14: 171.13
Facility 2 to Customer 15: 174.90
Facility 2 to Customer 16: 414.21
Facility 2 to Customer 17: 387.80
Facility 2 to Customer 18: 250.92
Facility 2 to Customer 19: 322.26
Facility 2 to Customer 20: 302.78
Facility 2 to Customer 21: 47.01
Facility 3 to Customer 0: 549.50
Facility 3 to Customer 1: 364.01
Facility 3 to Customer 2: 294.68
Facility 3 to Customer 3: 622.22
Facility 3 to Customer 4: 404.78
Facility 3 to Customer 5: 300.74
Facility 3 to Customer 6: 263.60
Facility 3 to Customer 7: 513.93
Facility 3 to Customer 8: 413.16
Facility 3 to Customer 9: 329.69
Facility 3 to Customer 10: 426.88
Facility 3 to Customer 11: 479.86
Facility 3 to Customer 12: 574.46
Facility 3 to Customer 13: 264.97
Facility 3 to Customer 14: 242.56
Facility 3 to Customer 15: 241.11
Facility 3 to Customer 16: 480.76
Facility 3 to Customer 17: 399.20
Facility 3 to Customer 18: 217.47
Facility 3 to Customer 19: 404.30
Facility 3 to Customer 20: 331.12
Facility 3 to Customer 21: 92.63
Facility 4 to Customer 0: 246.79
Facility 4 to Customer 1: 247.74
Facility 4 to Customer 2: 423.85
Facility 4 to Customer 3: 271.12
Facility 4 to Customer 4: 419.66
Facility 4 to Customer 5: 352.85
Facility 4 to Customer 6: 405.49
Facility 4 to Customer 7: 429.67
Facility 4 to Customer 8: 217.28
Facility 4 to Customer 9: 130.86
Facility 4 to Customer 10: 51.16
Facility 4 to Customer 11: 346.81
Facility 4 to Customer 12: 508.84
Facility 4 to Customer 13: 294.25
Facility 4 to Customer 14: 354.15
Facility 4 to Customer 15: 343.29
Facility 4 to Customer 16: 343.64
Facility 4 to Customer 17: 133.87
Facility 4 to Customer 18: 228.00
Facility 4 to Customer 19: 383.28
Facility 4 to Customer 20: 213.38
Facility 4 to Customer 21: 491.41
Facility 5 to Customer 0: 155.60
Facility 5 to Customer 1: 330.29
Facility 5 to Customer 2: 481.74
Facility 5 to Customer 3: 125.93
Facility 5 to Customer 4: 382.55
Facility 5 to Customer 5: 425.60
Facility 5 to Customer 6: 491.54
Facility 5 to Customer 7: 282.82
Facility 5 to Customer 8: 281.57
Facility 5 to Customer 9: 493.20
Facility 5 to Customer 10: 442.37
Facility 5 to Customer 11: 246.87
Facility 5 to Customer 12: 314.64
Facility 5 to Customer 13: 432.90
Facility 5 to Customer 14: 474.98
Facility 5 to Customer 15: 470.80
Facility 5 to Customer 16: 243.77
Facility 5 to Customer 17: 322.80
Facility 5 to Customer 18: 517.88
Facility 5 to Customer 19: 351.97
Facility 5 to Customer 20: 364.48
Facility 5 to Customer 21: 688.90
Facility 6 to Customer 0: 465.13
