Facility Location Problem Instance
Number of facilities: 16
Number of customers: 25
Grid size: 700x700
Facilities coordinates (x, y):
122, 276
696, 316
96, 29
671, 161
214, 613
401, 587
680, 684
234, 130
362, 104
359, 672
569, 633
126, 293
596, 349
675, 224
398, 565
126, 362
Customers coordinates (x, y):
309, 453
212, 203
345, 25
240, 587
32, 260
175, 198
2, 583
491, 148
412, 87
479, 412
54, 474
215, 447
507, 146
572, 82
674, 85
69, 104
87, 104
56, 63
280, 40
46, 457
534, 449
367, 472
305, 410
66, 294
655, 410
Distances between facilities and customers:
Facility 0 to Customer 0: 257.48
Facility 0 to Customer 1: 115.88
Facility 0 to Customer 2: 335.75
Facility 0 to Customer 3: 332.63
Facility 0 to Customer 4: 91.41
Facility 0 to Customer 5: 94.30
Facility 0 to Customer 6: 329.62
Facility 0 to Customer 7: 390.57
Facility 0 to Customer 8: 346.15
Facility 0 to Customer 9: 382.03
Facility 0 to Customer 10: 209.35
Facility 0 to Customer 11: 194.65
Facility 0 to Customer 12: 406.36
Facility 0 to Customer 13: 490.04
Facility 0 to Customer 14: 584.11
Facility 0 to Customer 15: 179.98
Facility 0 to Customer 16: 175.52
Facility 0 to Customer 17: 222.99
Facility 0 to Customer 18: 284.01
Facility 0 to Customer 19: 196.31
Facility 0 to Customer 20: 446.85
Facility 0 to Customer 21: 313.75
Facility 0 to Customer 22: 226.81
Facility 0 to Customer 23: 58.82
Facility 0 to Customer 24: 549.59
Facility 1 to Customer 0: 410.53
Facility 1 to Customer 1: 497.02
Facility 1 to Customer 2: 455.94
Facility 1 to Customer 3: 530.45
Facility 1 to Customer 4: 666.36
Facility 1 to Customer 5: 534.20
Facility 1 to Customer 6: 743.59
Facility 1 to Customer 7: 265.05
Facility 1 to Customer 8: 364.82
Facility 1 to Customer 9: 237.29
Facility 1 to Customer 10: 661.16
Facility 1 to Customer 11: 498.52
Facility 1 to Customer 12: 254.21
Facility 1 to Customer 13: 264.82
Facility 1 to Customer 14: 232.05
