Facility Location Problem Instance
Number of facilities: 18
Number of customers: 30
Grid size: 800x800
Facilities coordinates (x, y):
345, 465
210, 257
744, 776
762, 782
569, 722
656, 305
56, 104
622, 301
27, 362
91, 519
655, 699
524, 676
206, 209
375, 508
673, 222
198, 50
459, 194
642, 276
Customers coordinates (x, y):
550, 572
540, 201
470, 735
366, 278
223, 99
153, 358
296, 469
57, 176
144, 782
356, 93
145, 66
541, 265
778, 496
30, 207
285, 222
258, 757
65, 220
154, 388
553, 679
654, 222
552, 789
637, 727
580, 616
20, 413
777, 273
131, 430
538, 341
507, 153
660, 302
349, 115
Distances between facilities and customers:
Facility 0 to Customer 0: 231.24
Facility 0 to Customer 1: 328.21
Facility 0 to Customer 2: 297.53
Facility 0 to Customer 3: 188.18
Facility 0 to Customer 4: 385.80
Facility 0 to Customer 5: 219.80
Facility 0 to Customer 6: 49.16
Facility 0 to Customer 7: 408.00
Facility 0 to Customer 8: 375.35
Facility 0 to Customer 9: 372.16
Facility 0 to Customer 10: 446.32
Facility 0 to Customer 11: 280.03
Facility 0 to Customer 12: 434.11
Facility 0 to Customer 13: 407.17
Facility 0 to Customer 14: 250.30
Facility 0 to Customer 15: 304.69
Facility 0 to Customer 16: 372.06
Facility 0 to Customer 17: 205.94
Facility 0 to Customer 18: 298.43
Facility 0 to Customer 19: 393.10
Facility 0 to Customer 20: 384.48
Facility 0 to Customer 21: 392.31
Facility 0 to Customer 22: 279.33
Facility 0 to Customer 23: 329.13
Facility 0 to Customer 24: 472.75
Facility 0 to Customer 25: 216.84
Facility 0 to Customer 26: 229.40
Facility 0 to Customer 27: 351.55
Facility 0 to Customer 28: 354.67
Facility 0 to Customer 29: 350.02
Facility 1 to Customer 0: 463.49
Facility 1 to Customer 1: 334.72
Facility 1 to Customer 2: 544.14
Facility 1 to Customer 3: 157.41
Facility 1 to Customer 4: 158.53
Facility 1 to Customer 5: 115.97
Facility 1 to Customer 6: 228.78
Facility 1 to Customer 7: 173.12
