Facility Location Problem Instance
Number of facilities: 20
Number of customers: 35
Grid size: 900x900
Facilities coordinates (x, y):
215, 649
847, 287
395, 310
325, 716
473, 346
715, 821
185, 6
480, 64
148, 454
396, 2
781, 350
310, 578
636, 379
606, 322
729, 268
173, 599
689, 875
483, 344
183, 832
583, 513
Customers coordinates (x, y):
323, 104
835, 698
278, 302
421, 808
671, 29
539, 151
871, 725
503, 823
256, 165
432, 483
147, 550
582, 831
171, 470
798, 490
440, 441
851, 316
320, 232
672, 227
306, 381
541, 113
360, 292
707, 698
168, 182
576, 492
885, 697
881, 186
632, 879
174, 326
870, 674
700, 291
645, 701
803, 359
95, 34
421, 876
313, 214
Distances between facilities and customers:
Facility 0 to Customer 0: 555.60
Facility 0 to Customer 1: 621.93
Facility 0 to Customer 2: 352.67
Facility 0 to Customer 3: 260.22
Facility 0 to Customer 4: 769.63
Facility 0 to Customer 5: 594.12
Facility 0 to Customer 6: 660.39
Facility 0 to Customer 7: 336.48
Facility 0 to Customer 8: 485.73
Facility 0 to Customer 9: 273.21
Facility 0 to Customer 10: 120.10
Facility 0 to Customer 11: 409.65
Facility 0 to Customer 12: 184.33
Facility 0 to Customer 13: 604.29
Facility 0 to Customer 14: 306.41
Facility 0 to Customer 15: 717.90
Facility 0 to Customer 16: 430.02
Facility 0 to Customer 17: 622.04
Facility 0 to Customer 18: 283.03
Facility 0 to Customer 19: 627.35
Facility 0 to Customer 20: 385.32
Facility 0 to Customer 21: 494.43
Facility 0 to Customer 22: 469.36
Facility 0 to Customer 23: 393.66
Facility 0 to Customer 24: 671.72
Facility 0 to Customer 25: 811.13
Facility 0 to Customer 26: 476.22
Facility 0 to Customer 27: 325.59
Facility 0 to Customer 28: 655.48
Facility 0 to Customer 29: 602.82
Facility 0 to Customer 30: 433.13
Facility 0 to Customer 31: 655.62
Facility 0 to Customer 32: 626.60
Facility 0 to Customer 33: 306.54
Facility 0 to Customer 34: 445.90
Facility 1 to Customer 0: 555.04
Facility 1 to Customer 1: 411.18
Facility 1 to Customer 2: 569.20
Facility 1 to Customer 3: 672.99
Facility 1 to Customer 4: 312.31
Facility 1 to Customer 5: 336.69
Facility 1 to Customer 6: 438.66
Facility 1 to Customer 7: 636.89
Facility 1 to Customer 8: 603.46
Facility 1 to Customer 9: 458.96
Facility 1 to Customer 10: 747.78
Facility 1 to Customer 11: 605.11
Facility 1 to Customer 12: 700.33
Facility 1 to Customer 13: 208.83
Facility 1 to Customer 14: 435.16
Facility 1 to Customer 15: 29.27
Facility 1 to Customer 16: 529.86
Facility 1 to Customer 17: 185.00
Facility 1 to Customer 18: 549.11
Facility 1 to Customer 19: 352.01
Facility 1 to Customer 20: 487.03
Facility 1 to Customer 21: 434.19
Facility 1 to Customer 22: 687.07
Facility 1 to Customer 23: 339.80
Facility 1 to Customer 24: 411.76
Facility 1 to Customer 25: 106.57
Facility 1 to Customer 26: 629.83
Facility 1 to Customer 27: 674.13
Facility 1 to Customer 28: 387.68
Facility 1 to Customer 29: 147.05
Facility 1 to Customer 30: 460.65
Facility 1 to Customer 31: 84.38
Facility 1 to Customer 32: 793.42
Facility 1 to Customer 33: 726.91
Facility 1 to Customer 34: 538.97
Facility 2 to Customer 0: 218.22
Facility 2 to Customer 1: 586.64
Facility 2 to Customer 2: 117.27
Facility 2 to Customer 3: 498.68
Facility 2 to Customer 4: 393.87
Facility 2 to Customer 5: 214.52
Facility 2 to Customer 6: 631.51
Facility 2 to Customer 7: 524.25
Facility 2 to Customer 8: 200.86
Facility 2 to Customer 9: 176.91
Facility 2 to Customer 10: 345.11
Facility 2 to Customer 11: 553.54
Facility 2 to Customer 12: 275.27
Facility 2 to Customer 13: 441.37
Facility 2 to Customer 14: 138.51
Facility 2 to Customer 15: 456.04
Facility 2 to Customer 16: 108.21
Facility 2 to Customer 17: 289.17
Facility 2 to Customer 18: 113.85
Facility 2 to Customer 19: 245.20
Facility 2 to Customer 20: 39.36
Facility 2 to Customer 21: 497.88
Facility 2 to Customer 22: 260.60
Facility 2 to Customer 23: 256.68
Facility 2 to Customer 24: 624.39
Facility 2 to Customer 25: 501.57
Facility 2 to Customer 26: 616.38
Facility 2 to Customer 27: 221.58
Facility 2 to Customer 28: 598.43
Facility 2 to Customer 29: 305.59
Facility 2 to Customer 30: 464.09
Facility 2 to Customer 31: 410.93
Facility 2 to Customer 32: 407.65
Facility 2 to Customer 33: 566.60
Facility 2 to Customer 34: 126.25
Facility 3 to Customer 0: 612.00
Facility 3 to Customer 1: 510.32
Facility 3 to Customer 2: 416.66
Facility 3 to Customer 3: 132.97
Facility 3 to Customer 4: 769.21
Facility 3 to Customer 5: 604.17
Facility 3 to Customer 6: 546.07
Facility 3 to Customer 7: 207.68
Facility 3 to Customer 8: 555.30
Facility 3 to Customer 9: 256.39
Facility 3 to Customer 10: 243.39
Facility 3 to Customer 11: 281.56
Facility 3 to Customer 12: 290.23
Facility 3 to Customer 13: 524.22
Facility 3 to Customer 14: 298.08
Facility 3 to Customer 15: 660.81
Facility 3 to Customer 16: 484.03
Facility 3 to Customer 17: 599.61
Facility 3 to Customer 18: 335.54
Facility 3 to Customer 19: 640.52
Facility 3 to Customer 20: 425.44
Facility 3 to Customer 21: 382.42
Facility 3 to Customer 22: 556.60
Facility 3 to Customer 23: 336.42
Facility 3 to Customer 24: 560.32
Facility 3 to Customer 25: 768.14
Facility 3 to Customer 26: 347.59
Facility 3 to Customer 27: 418.21
Facility 3 to Customer 28: 546.62
Facility 3 to Customer 29: 566.79
Facility 3 to Customer 30: 320.35
Facility 3 to Customer 31: 596.60
Facility 3 to Customer 32: 719.74
Facility 3 to Customer 33: 186.59
Facility 3 to Customer 34: 502.14
Facility 4 to Customer 0: 284.72
Facility 4 to Customer 1: 504.92
Facility 4 to Customer 2: 199.90
Facility 4 to Customer 3: 464.92
Facility 4 to Customer 4: 373.76
Facility 4 to Customer 5: 205.87
Facility 4 to Customer 6: 549.59
Facility 4 to Customer 7: 477.94
Facility 4 to Customer 8: 282.58
Facility 4 to Customer 9: 143.00
Facility 4 to Customer 10: 384.57
Facility 4 to Customer 11: 497.10
Facility 4 to Customer 12: 326.47
Facility 4 to Customer 13: 355.47
Facility 4 to Customer 14: 100.57
Facility 4 to Customer 15: 379.19
Facility 4 to Customer 16: 190.80
Facility 4 to Customer 17: 231.87
Facility 4 to Customer 18: 170.63
Facility 4 to Customer 19: 242.72
Facility 4 to Customer 20: 125.24
Facility 4 to Customer 21: 422.68
Facility 4 to Customer 22: 346.30
Facility 4 to Customer 23: 178.68
Facility 4 to Customer 24: 541.24
Facility 4 to Customer 25: 438.25
Facility 4 to Customer 26: 556.21
Facility 4 to Customer 27: 299.67
Facility 4 to Customer 28: 514.97
Facility 4 to Customer 29: 233.57
Facility 4 to Customer 30: 394.47
Facility 4 to Customer 31: 330.26
Facility 4 to Customer 32: 490.13
Facility 4 to Customer 33: 532.54
Facility 4 to Customer 34: 207.42
Facility 5 to Customer 0: 817.16
Facility 5 to Customer 1: 171.84
Facility 5 to Customer 2: 678.48
Facility 5 to Customer 3: 294.29
Facility 5 to Customer 4: 793.22
Facility 5 to Customer 5: 692.73
Facility 5 to Customer 6: 183.17
Facility 5 to Customer 7: 212.01
Facility 5 to Customer 8: 800.64
Facility 5 to Customer 9: 440.83
Facility 5 to Customer 10: 629.34
Facility 5 to Customer 11: 133.38
Facility 5 to Customer 12: 647.41
Facility 5 to Customer 13: 341.25
Facility 5 to Customer 14: 469.07
Facility 5 to Customer 15: 522.99
Facility 5 to Customer 16: 709.19
Facility 5 to Customer 17: 595.55
Facility 5 to Customer 18: 600.73
Facility 5 to Customer 19: 729.07
Facility 5 to Customer 20: 637.08
Facility 5 to Customer 21: 123.26
Facility 5 to Customer 22: 841.15
Facility 5 to Customer 23: 357.16
Facility 5 to Customer 24: 210.42
Facility 5 to Customer 25: 656.34
Facility 5 to Customer 26: 101.26
Facility 5 to Customer 27: 733.28
Facility 5 to Customer 28: 213.62
Facility 5 to Customer 29: 530.21
Facility 5 to Customer 30: 138.92
Facility 5 to Customer 31: 470.31
Facility 5 to Customer 32: 1001.88
Facility 5 to Customer 33: 299.10
Facility 5 to Customer 34: 728.05
Facility 6 to Customer 0: 169.26
Facility 6 to Customer 1: 949.40
Facility 6 to Customer 2: 310.27
Facility 6 to Customer 3: 836.00
Facility 6 to Customer 4: 486.54
Facility 6 to Customer 5: 382.55
Facility 6 to Customer 6: 993.76
Facility 6 to Customer 7: 876.71
Facility 6 to Customer 8: 174.13
Facility 6 to Customer 9: 537.16
Facility 6 to Customer 10: 545.33
Facility 6 to Customer 11: 915.55
Facility 6 to Customer 12: 464.21
Facility 6 to Customer 13: 781.04
Facility 6 to Customer 14: 504.23
Facility 6 to Customer 15: 734.61
Facility 6 to Customer 16: 263.25
Facility 6 to Customer 17: 534.80
Facility 6 to Customer 18: 394.04
Facility 6 to Customer 19: 371.73
Facility 6 to Customer 20: 335.29
Facility 6 to Customer 21: 866.80
Facility 6 to Customer 22: 176.82
Facility 6 to Customer 23: 623.76
Facility 6 to Customer 24: 983.61
Facility 6 to Customer 25: 718.90
Facility 6 to Customer 26: 980.78
Facility 6 to Customer 27: 320.19
Facility 6 to Customer 28: 956.79
Facility 6 to Customer 29: 588.60
Facility 6 to Customer 30: 833.44
Facility 6 to Customer 31: 711.71
Facility 6 to Customer 32: 94.25
Facility 6 to Customer 33: 901.44
Facility 6 to Customer 34: 244.23
Facility 7 to Customer 0: 162.02
Facility 7 to Customer 1: 726.62
Facility 7 to Customer 2: 312.17
Facility 7 to Customer 3: 746.34
Facility 7 to Customer 4: 194.18
Facility 7 to Customer 5: 105.12
Facility 7 to Customer 6: 767.99
Facility 7 to Customer 7: 759.35
Facility 7 to Customer 8: 245.72
Facility 7 to Customer 9: 421.74
Facility 7 to Customer 10: 589.14
Facility 7 to Customer 11: 773.75
Facility 7 to Customer 12: 510.21
Facility 7 to Customer 13: 531.60
Facility 7 to Customer 14: 379.12
Facility 7 to Customer 15: 448.49
Facility 7 to Customer 16: 232.00
Facility 7 to Customer 17: 251.86
Facility 7 to Customer 18: 361.61
Facility 7 to Customer 19: 78.24
Facility 7 to Customer 20: 257.65
Facility 7 to Customer 21: 673.41
Facility 7 to Customer 22: 333.57
Facility 7 to Customer 23: 438.63
Facility 7 to Customer 24: 751.47
Facility 7 to Customer 25: 419.15
Facility 7 to Customer 26: 829.05
Facility 7 to Customer 27: 402.84
Facility 7 to Customer 28: 724.02
Facility 7 to Customer 29: 316.12
Facility 7 to Customer 30: 658.02
Facility 7 to Customer 31: 437.44
Facility 7 to Customer 32: 386.17
Facility 7 to Customer 33: 814.14
Facility 7 to Customer 34: 224.47
Facility 8 to Customer 0: 391.31
Facility 8 to Customer 1: 729.04
Facility 8 to Customer 2: 200.01
Facility 8 to Customer 3: 447.04
Facility 8 to Customer 4: 673.91
Facility 8 to Customer 5: 494.66
Facility 8 to Customer 6: 772.12
Facility 8 to Customer 7: 512.04
Facility 8 to Customer 8: 308.52
Facility 8 to Customer 9: 285.48
Facility 8 to Customer 10: 96.01
Facility 8 to Customer 11: 574.88
Facility 8 to Customer 12: 28.02
Facility 8 to Customer 13: 651.00
Facility 8 to Customer 14: 292.29
Facility 8 to Customer 15: 716.42
Facility 8 to Customer 16: 280.83
Facility 8 to Customer 17: 571.06
Facility 8 to Customer 18: 174.05
Facility 8 to Customer 19: 520.32
Facility 8 to Customer 20: 266.81
Facility 8 to Customer 21: 609.93
Facility 8 to Customer 22: 272.73
Facility 8 to Customer 23: 429.68
Facility 8 to Customer 24: 776.03
Facility 8 to Customer 25: 780.46
Facility 8 to Customer 26: 644.11
Facility 8 to Customer 27: 130.61
Facility 8 to Customer 28: 754.77
Facility 8 to Customer 29: 575.56
Facility 8 to Customer 30: 554.99
Facility 8 to Customer 31: 661.85
Facility 8 to Customer 32: 423.33
Facility 8 to Customer 33: 502.61
Facility 8 to Customer 34: 291.25
Facility 9 to Customer 0: 125.43
Facility 9 to Customer 1: 822.88
Facility 9 to Customer 2: 322.37
Facility 9 to Customer 3: 806.39
Facility 9 to Customer 4: 276.32
Facility 9 to Customer 5: 206.52
Facility 9 to Customer 6: 865.07
Facility 9 to Customer 7: 827.94
Facility 9 to Customer 8: 214.87
Facility 9 to Customer 9: 482.35
Facility 9 to Customer 10: 601.92
Facility 9 to Customer 11: 849.61
Facility 9 to Customer 12: 519.28
Facility 9 to Customer 13: 632.26
Facility 9 to Customer 14: 441.20
Facility 9 to Customer 15: 552.83
Facility 9 to Customer 16: 242.23
Facility 9 to Customer 17: 356.09
Facility 9 to Customer 18: 389.54
Facility 9 to Customer 19: 182.61
Facility 9 to Customer 20: 292.23
Facility 9 to Customer 21: 762.32
Facility 9 to Customer 22: 290.49
Facility 9 to Customer 23: 522.02
Facility 9 to Customer 24: 849.79
Facility 9 to Customer 25: 518.73
Facility 9 to Customer 26: 908.20
Facility 9 to Customer 27: 392.76
Facility 9 to Customer 28: 822.35
Facility 9 to Customer 29: 419.45
Facility 9 to Customer 30: 742.03
Facility 9 to Customer 31: 541.39
Facility 9 to Customer 32: 302.70
Facility 9 to Customer 33: 874.36
Facility 9 to Customer 34: 227.67
Facility 10 to Customer 0: 519.88
Facility 10 to Customer 1: 352.16
Facility 10 to Customer 2: 505.29
Facility 10 to Customer 3: 582.55
Facility 10 to Customer 4: 339.32
Facility 10 to Customer 5: 313.31
Facility 10 to Customer 6: 385.65
Facility 10 to Customer 7: 548.65
Facility 10 to Customer 8: 556.64
Facility 10 to Customer 9: 373.48
Facility 10 to Customer 10: 664.80
Facility 10 to Customer 11: 520.54
Facility 10 to Customer 12: 621.69
Facility 10 to Customer 13: 141.03
Facility 10 to Customer 14: 352.93
Facility 10 to Customer 15: 77.82
Facility 10 to Customer 16: 475.86
Facility 10 to Customer 17: 164.35
Facility 10 to Customer 18: 476.01
Facility 10 to Customer 19: 337.30
Facility 10 to Customer 20: 424.98
Facility 10 to Customer 21: 355.78
Facility 10 to Customer 22: 635.60
Facility 10 to Customer 23: 249.38
Facility 10 to Customer 24: 362.25
Facility 10 to Customer 25: 192.08
Facility 10 to Customer 26: 549.58
Facility 10 to Customer 27: 607.47
Facility 10 to Customer 28: 336.00
Facility 10 to Customer 29: 100.21
Facility 10 to Customer 30: 376.43
Facility 10 to Customer 31: 23.77
Facility 10 to Customer 32: 755.28
Facility 10 to Customer 33: 637.40
Facility 10 to Customer 34: 487.36
Facility 11 to Customer 0: 474.18
Facility 11 to Customer 1: 538.54
Facility 11 to Customer 2: 277.85
Facility 11 to Customer 3: 255.38
Facility 11 to Customer 4: 657.06
Facility 11 to Customer 5: 484.53
Facility 11 to Customer 6: 579.94
Facility 11 to Customer 7: 311.89
Facility 11 to Customer 8: 416.52
Facility 11 to Customer 9: 154.63
Facility 11 to Customer 10: 165.39
Facility 11 to Customer 11: 371.47
Facility 11 to Customer 12: 176.03
Facility 11 to Customer 13: 495.87
Facility 11 to Customer 14: 188.86
Facility 11 to Customer 15: 601.10
Facility 11 to Customer 16: 346.14
Facility 11 to Customer 17: 504.23
Facility 11 to Customer 18: 197.04
Facility 11 to Customer 19: 519.22
Facility 11 to Customer 20: 290.34
Facility 11 to Customer 21: 414.74
Facility 11 to Customer 22: 420.69
Facility 11 to Customer 23: 279.56
Facility 11 to Customer 24: 587.18
Facility 11 to Customer 25: 692.61
Facility 11 to Customer 26: 440.78
Facility 11 to Customer 27: 286.36
Facility 11 to Customer 28: 568.17
Facility 11 to Customer 29: 484.22
Facility 11 to Customer 30: 356.87
Facility 11 to Customer 31: 539.45
Facility 11 to Customer 32: 584.95
Facility 11 to Customer 33: 318.00
Facility 11 to Customer 34: 364.01
Facility 12 to Customer 0: 416.65
Facility 12 to Customer 1: 375.98
Facility 12 to Customer 2: 366.19
Facility 12 to Customer 3: 479.86
Facility 12 to Customer 4: 351.75
Facility 12 to Customer 5: 247.78
Facility 12 to Customer 6: 418.26
Facility 12 to Customer 7: 463.49
Facility 12 to Customer 8: 436.11
Facility 12 to Customer 9: 228.98
Facility 12 to Customer 10: 518.04
Facility 12 to Customer 11: 455.21
Facility 12 to Customer 12: 473.82
Facility 12 to Customer 13: 196.38
Facility 12 to Customer 14: 205.57
Facility 12 to Customer 15: 224.04
Facility 12 to Customer 16: 348.52
Facility 12 to Customer 17: 156.20
Facility 12 to Customer 18: 330.01
Facility 12 to Customer 19: 282.46
Facility 12 to Customer 20: 289.39
Facility 12 to Customer 21: 326.81
Facility 12 to Customer 22: 507.77
Facility 12 to Customer 23: 127.94
Facility 12 to Customer 24: 403.89
Facility 12 to Customer 25: 311.89
Facility 12 to Customer 26: 500.02
Facility 12 to Customer 27: 465.03
Facility 12 to Customer 28: 376.54
Facility 12 to Customer 29: 108.81
Facility 12 to Customer 30: 322.13
Facility 12 to Customer 31: 168.19
Facility 12 to Customer 32: 641.64
Facility 12 to Customer 33: 541.51
Facility 12 to Customer 34: 362.70
Facility 13 to Customer 0: 357.23
Facility 13 to Customer 1: 440.25
Facility 13 to Customer 2: 328.61
Facility 13 to Customer 3: 520.02
Facility 13 to Customer 4: 300.12
Facility 13 to Customer 5: 183.66
Facility 13 to Customer 6: 482.32
Facility 13 to Customer 7: 511.48
Facility 13 to Customer 8: 383.60
Facility 13 to Customer 9: 237.06
Facility 13 to Customer 10: 512.51
Facility 13 to Customer 11: 509.57
Facility 13 to Customer 12: 459.49
Facility 13 to Customer 13: 255.12
Facility 13 to Customer 14: 204.25
Facility 13 to Customer 15: 245.07
Facility 13 to Customer 16: 299.83
Facility 13 to Customer 17: 115.68
Facility 13 to Customer 18: 305.75
Facility 13 to Customer 19: 218.87
Facility 13 to Customer 20: 247.82
Facility 13 to Customer 21: 389.33
Facility 13 to Customer 22: 459.83
Facility 13 to Customer 23: 172.63
Facility 13 to Customer 24: 467.40
Facility 13 to Customer 25: 306.79
Facility 13 to Customer 26: 557.61
Facility 13 to Customer 27: 432.02
Facility 13 to Customer 28: 440.00
Facility 13 to Customer 29: 98.98
Facility 13 to Customer 30: 381.00
Facility 13 to Customer 31: 200.44
Facility 13 to Customer 32: 586.57
Facility 13 to Customer 33: 584.07
Facility 13 to Customer 34: 312.27
Facility 14 to Customer 0: 437.87
Facility 14 to Customer 1: 442.87
Facility 14 to Customer 2: 452.28
Facility 14 to Customer 3: 621.66
Facility 14 to Customer 4: 245.94
Facility 14 to Customer 5: 223.13
Facility 14 to Customer 6: 478.55
Facility 14 to Customer 7: 599.25
Facility 14 to Customer 8: 484.08
Facility 14 to Customer 9: 366.65
Facility 14 to Customer 10: 646.72
Facility 14 to Customer 11: 581.87
Facility 14 to Customer 12: 593.44
Facility 14 to Customer 13: 232.48
Facility 14 to Customer 14: 336.82
Facility 14 to Customer 15: 131.10
Facility 14 to Customer 16: 410.58
Facility 14 to Customer 17: 70.21
Facility 14 to Customer 18: 437.83
Facility 14 to Customer 19: 243.66
Facility 14 to Customer 20: 369.78
Facility 14 to Customer 21: 430.56
Facility 14 to Customer 22: 567.55
Facility 14 to Customer 23: 271.27
Facility 14 to Customer 24: 456.48
Facility 14 to Customer 25: 172.71
Facility 14 to Customer 26: 618.65
Facility 14 to Customer 27: 558.02
Facility 14 to Customer 28: 429.79
Facility 14 to Customer 29: 37.01
Facility 14 to Customer 30: 441.07
Facility 14 to Customer 31: 117.29
Facility 14 to Customer 32: 675.80
Facility 14 to Customer 33: 681.56
Facility 14 to Customer 34: 419.49
Facility 15 to Customer 0: 517.23
Facility 15 to Customer 1: 669.36
Facility 15 to Customer 2: 315.01
Facility 15 to Customer 3: 324.32
Facility 15 to Customer 4: 756.90
Facility 15 to Customer 5: 578.50
Facility 15 to Customer 6: 709.28
Facility 15 to Customer 7: 398.84
Facility 15 to Customer 8: 441.87
Facility 15 to Customer 9: 283.79
Facility 15 to Customer 10: 55.47
Facility 15 to Customer 11: 470.22
Facility 15 to Customer 12: 129.02
Facility 15 to Customer 13: 634.43
Facility 15 to Customer 14: 310.25
Facility 15 to Customer 15: 734.69
Facility 15 to Customer 16: 395.35
Facility 15 to Customer 17: 622.40
Facility 15 to Customer 18: 255.37
Facility 15 to Customer 19: 609.61
Facility 15 to Customer 20: 359.47
Facility 15 to Customer 21: 543.10
Facility 15 to Customer 22: 417.03
Facility 15 to Customer 23: 416.96
Facility 15 to Customer 24: 718.71
Facility 15 to Customer 25: 819.65
Facility 15 to Customer 26: 537.66
Facility 15 to Customer 27: 273.00
Facility 15 to Customer 28: 701.02
Facility 15 to Customer 29: 610.40
Facility 15 to Customer 30: 482.90
Facility 15 to Customer 31: 674.17
Facility 15 to Customer 32: 570.36
Facility 15 to Customer 33: 371.80
Facility 15 to Customer 34: 409.66
Facility 16 to Customer 0: 853.46
Facility 16 to Customer 1: 229.44
Facility 16 to Customer 2: 705.16
Facility 16 to Customer 3: 276.25
Facility 16 to Customer 4: 846.19
Facility 16 to Customer 5: 739.38
Facility 16 to Customer 6: 235.85
Facility 16 to Customer 7: 193.13
Facility 16 to Customer 8: 831.62
Facility 16 to Customer 9: 468.74
Facility 16 to Customer 10: 631.97
Facility 16 to Customer 11: 115.69
Facility 16 to Customer 12: 657.53
Facility 16 to Customer 13: 400.13
Facility 16 to Customer 14: 500.36
Facility 16 to Customer 15: 582.00
Facility 16 to Customer 16: 741.36
Facility 16 to Customer 17: 648.22
Facility 16 to Customer 18: 625.08
Facility 16 to Customer 19: 776.24
Facility 16 to Customer 20: 669.43
Facility 16 to Customer 21: 177.91
Facility 16 to Customer 22: 867.00
Facility 16 to Customer 23: 399.32
Facility 16 to Customer 24: 264.76
Facility 16 to Customer 25: 715.25
Facility 16 to Customer 26: 57.14
Facility 16 to Customer 27: 752.75
Facility 16 to Customer 28: 270.48
Facility 16 to Customer 29: 584.10
Facility 16 to Customer 30: 179.48
Facility 16 to Customer 31: 528.44
Facility 16 to Customer 32: 1029.62
Facility 16 to Customer 33: 268.00
Facility 16 to Customer 34: 760.46
Facility 17 to Customer 0: 288.44
Facility 17 to Customer 1: 499.22
Facility 17 to Customer 2: 209.26
Facility 17 to Customer 3: 468.12
Facility 17 to Customer 4: 366.84
Facility 17 to Customer 5: 200.96
Facility 17 to Customer 6: 543.79
Facility 17 to Customer 7: 479.42
Facility 17 to Customer 8: 289.08
Facility 17 to Customer 9: 148.06
Facility 17 to Customer 10: 394.12
Facility 17 to Customer 11: 496.96
Facility 17 to Customer 12: 336.48
Facility 17 to Customer 13: 347.19
Facility 17 to Customer 14: 106.10
Facility 17 to Customer 15: 369.06
Facility 17 to Customer 16: 197.77
Facility 17 to Customer 17: 222.28
Facility 17 to Customer 18: 180.83
Facility 17 to Customer 19: 238.17
Facility 17 to Customer 20: 133.54
Facility 17 to Customer 21: 418.92
Facility 17 to Customer 22: 354.22
Facility 17 to Customer 23: 174.79
Facility 17 to Customer 24: 534.99
Facility 17 to Customer 25: 428.21
Facility 17 to Customer 26: 555.36
Facility 17 to Customer 27: 309.52
Facility 17 to Customer 28: 508.60
Facility 17 to Customer 29: 223.38
Facility 17 to Customer 30: 392.04
Facility 17 to Customer 31: 320.35
Facility 17 to Customer 32: 496.63
Facility 17 to Customer 33: 535.60
Facility 17 to Customer 34: 214.01
Facility 18 to Customer 0: 741.34
Facility 18 to Customer 1: 665.63
Facility 18 to Customer 2: 538.45
Facility 18 to Customer 3: 239.21
Facility 18 to Customer 4: 939.66
Facility 18 to Customer 5: 768.44
Facility 18 to Customer 6: 696.27
Facility 18 to Customer 7: 320.13
Facility 18 to Customer 8: 670.98
Facility 18 to Customer 9: 428.72
Facility 18 to Customer 10: 284.29
Facility 18 to Customer 11: 399.00
Facility 18 to Customer 12: 362.20
Facility 18 to Customer 13: 703.70
Facility 18 to Customer 14: 467.90
Facility 18 to Customer 15: 844.09
Facility 18 to Customer 16: 615.44
Facility 18 to Customer 17: 777.91
Facility 18 to Customer 18: 467.47
Facility 18 to Customer 19: 803.20
Facility 18 to Customer 20: 568.27
Facility 18 to Customer 21: 540.86
Facility 18 to Customer 22: 650.17
Facility 18 to Customer 23: 519.66
Facility 18 to Customer 24: 714.86
Facility 18 to Customer 25: 951.06
Facility 18 to Customer 26: 451.45
Facility 18 to Customer 27: 506.08
Facility 18 to Customer 28: 704.93
Facility 18 to Customer 29: 748.31
Facility 18 to Customer 30: 480.21
Facility 18 to Customer 31: 779.83
Facility 18 to Customer 32: 802.84
Facility 18 to Customer 33: 242.03
Facility 18 to Customer 34: 631.53
Facility 19 to Customer 0: 484.65
Facility 19 to Customer 1: 312.62
Facility 19 to Customer 2: 370.87
Facility 19 to Customer 3: 336.55
Facility 19 to Customer 4: 491.93
Facility 19 to Customer 5: 364.66
Facility 19 to Customer 6: 357.61
Facility 19 to Customer 7: 320.16
Facility 19 to Customer 8: 477.53
Facility 19 to Customer 9: 153.95
Facility 19 to Customer 10: 437.57
Facility 19 to Customer 11: 318.00
Facility 19 to Customer 12: 414.24
Facility 19 to Customer 13: 216.23
Facility 19 to Customer 14: 160.10
Facility 19 to Customer 15: 332.62
Facility 19 to Customer 16: 384.88
Facility 19 to Customer 17: 299.53
Facility 19 to Customer 18: 306.84
Facility 19 to Customer 19: 402.20
Facility 19 to Customer 20: 313.96
Facility 19 to Customer 21: 222.71
Facility 19 to Customer 22: 530.84
Facility 19 to Customer 23: 22.14
Facility 19 to Customer 24: 353.64
Facility 19 to Customer 25: 442.42
Facility 19 to Customer 26: 369.27
Facility 19 to Customer 27: 449.72
Facility 19 to Customer 28: 329.07
Facility 19 to Customer 29: 250.94
Facility 19 to Customer 30: 197.96
Facility 19 to Customer 31: 268.54
Facility 19 to Customer 32: 683.80
Facility 19 to Customer 33: 397.51
Facility 19 to Customer 34: 402.87
Facilities fixed costs:
Facility 0: 12
Facility 1: 11
Facility 2: 16
Facility 3: 10
Facility 4: 16
Facility 5: 19
Facility 6: 16
Facility 7: 11
Facility 8: 18
Facility 9: 13
Facility 10: 11
Facility 11: 15
Facility 12: 10
Facility 13: 11
Facility 14: 13
Facility 15: 20
Facility 16: 17
Facility 17: 10
Facility 18: 12
Facility 19: 16
Drone operational costs (S-type drones):
Facility 0 to Customer 0: 7
Facility 0 to Customer 1: 5
Facility 0 to Customer 2: 6
Facility 0 to Customer 3: 13
Facility 0 to Customer 4: 10
Facility 0 to Customer 5: 10
Facility 0 to Customer 6: 7
Facility 0 to Customer 7: 11
Facility 0 to Customer 8: 5
Facility 0 to Customer 9: 6
