Facility Location Problem Instance
Number of facilities: 13
Number of customers: 14
Grid size: 100x100
Facilities coordinates (x, y):
50, 27
54, 27
63, 34
41, 36
43, 70
73, 16
72, 62
43, 87
97, 6
5, 12
80, 58
2, 15
20, 56
Customers coordinates (x, y):
58, 0
54, 25
88, 16
83, 38
20, 35
11, 83
46, 32
10, 47
85, 83
21, 6
50, 80
39, 92
89, 96
29, 54
Distances between facilities and customers:
Facility 0 to Customer 0: 28.16
Facility 0 to Customer 1: 4.47
Facility 0 to Customer 2: 39.56
Facility 0 to Customer 3: 34.79
Facility 0 to Customer 4: 31.05
Facility 0 to Customer 5: 68.24
Facility 0 to Customer 6: 6.40
Facility 0 to Customer 7: 44.72
Facility 0 to Customer 8: 66.04
Facility 0 to Customer 9: 35.81
Facility 0 to Customer 10: 53.00
Facility 0 to Customer 11: 65.92
Facility 0 to Customer 12: 79.26
Facility 0 to Customer 13: 34.21
Facility 1 to Customer 0: 27.29
Facility 1 to Customer 1: 2.00
Facility 1 to Customer 2: 35.74
Facility 1 to Customer 3: 31.02
Facility 1 to Customer 4: 34.93
Facility 1 to Customer 5: 70.60
Facility 1 to Customer 6: 9.43
Facility 1 to Customer 7: 48.33
Facility 1 to Customer 8: 64.01
Facility 1 to Customer 9: 39.12
Facility 1 to Customer 10: 53.15
Facility 1 to Customer 11: 66.71
Facility 1 to Customer 12: 77.37
Facility 1 to Customer 13: 36.80
Facility 2 to Customer 0: 34.37
Facility 2 to Customer 1: 12.73
Facility 2 to Customer 2: 30.81
Facility 2 to Customer 3: 20.40
Facility 2 to Customer 4: 43.01
Facility 2 to Customer 5: 71.45
Facility 2 to Customer 6: 17.12
Facility 2 to Customer 7: 54.57
Facility 2 to Customer 8: 53.71
Facility 2 to Customer 9: 50.48
Facility 2 to Customer 10: 47.80
Facility 2 to Customer 11: 62.77
Facility 2 to Customer 12: 67.23
Facility 2 to Customer 13: 39.45
Facility 3 to Customer 0: 39.81
Facility 3 to Customer 1: 17.03
Facility 3 to Customer 2: 51.08
Facility 3 to Customer 3: 42.05
Facility 3 to Customer 4: 21.02
Facility 3 to Customer 5: 55.76
Facility 3 to Customer 6: 6.40
Facility 3 to Customer 7: 32.89
Facility 3 to Customer 8: 64.38
Facility 3 to Customer 9: 36.06
Facility 3 to Customer 10: 44.91
Facility 3 to Customer 11: 56.04
Facility 3 to Customer 12: 76.84
Facility 3 to Customer 13: 21.63
Facility 4 to Customer 0: 71.59
Facility 4 to Customer 1: 46.32
Facility 4 to Customer 2: 70.29
Facility 4 to Customer 3: 51.22
Facility 4 to Customer 4: 41.88
Facility 4 to Customer 5: 34.54
Facility 4 to Customer 6: 38.12
Facility 4 to Customer 7: 40.22
Facility 4 to Customer 8: 43.97
Facility 4 to Customer 9: 67.68
Facility 4 to Customer 10: 12.21
Facility 4 to Customer 11: 22.36
Facility 4 to Customer 12: 52.84
Facility 4 to Customer 13: 21.26
Facility 5 to Customer 0: 21.93
Facility 5 to Customer 1: 21.02
Facility 5 to Customer 2: 15.00
Facility 5 to Customer 3: 24.17
Facility 5 to Customer 4: 56.30
Facility 5 to Customer 5: 91.29
Facility 5 to Customer 6: 31.38
Facility 5 to Customer 7: 70.21
Facility 5 to Customer 8: 68.07
Facility 5 to Customer 9: 52.95
Facility 5 to Customer 10: 68.01
Facility 5 to Customer 11: 83.26
Facility 5 to Customer 12: 81.58
Facility 5 to Customer 13: 58.14
Facility 6 to Customer 0: 63.56
Facility 6 to Customer 1: 41.15
Facility 6 to Customer 2: 48.70
Facility 6 to Customer 3: 26.40
Facility 6 to Customer 4: 58.59
Facility 6 to Customer 5: 64.51
Facility 6 to Customer 6: 39.70
Facility 6 to Customer 7: 63.79
Facility 6 to Customer 8: 24.70
Facility 6 to Customer 9: 75.74
Facility 6 to Customer 10: 28.43
Facility 6 to Customer 11: 44.60
Facility 6 to Customer 12: 38.01
Facility 6 to Customer 13: 43.74
Facility 7 to Customer 0: 88.28
Facility 7 to Customer 1: 62.97
Facility 7 to Customer 2: 84.06
Facility 7 to Customer 3: 63.25
Facility 7 to Customer 4: 56.86
Facility 7 to Customer 5: 32.25
Facility 7 to Customer 6: 55.08
Facility 7 to Customer 7: 51.86
Facility 7 to Customer 8: 42.19
Facility 7 to Customer 9: 83.93
Facility 7 to Customer 10: 9.90
Facility 7 to Customer 11: 6.40
Facility 7 to Customer 12: 46.87
Facility 7 to Customer 13: 35.85
Facility 8 to Customer 0: 39.46
Facility 8 to Customer 1: 47.01
Facility 8 to Customer 2: 13.45
Facility 8 to Customer 3: 34.93
Facility 8 to Customer 4: 82.28
Facility 8 to Customer 5: 115.43
Facility 8 to Customer 6: 57.25
Facility 8 to Customer 7: 96.18
Facility 8 to Customer 8: 77.93
Facility 8 to Customer 9: 76.00
Facility 8 to Customer 10: 87.66
Facility 8 to Customer 11: 103.73
Facility 8 to Customer 12: 90.35
Facility 8 to Customer 13: 83.23
Facility 9 to Customer 0: 54.34
Facility 9 to Customer 1: 50.70
Facility 9 to Customer 2: 83.10
Facility 9 to Customer 3: 82.22
Facility 9 to Customer 4: 27.46
Facility 9 to Customer 5: 71.25
Facility 9 to Customer 6: 45.62
Facility 9 to Customer 7: 35.36
Facility 9 to Customer 8: 106.96
Facility 9 to Customer 9: 17.09
Facility 9 to Customer 10: 81.54
Facility 9 to Customer 11: 86.93
Facility 9 to Customer 12: 118.79
Facility 9 to Customer 13: 48.37
Facility 10 to Customer 0: 62.03
Facility 10 to Customer 1: 42.01
Facility 10 to Customer 2: 42.76
Facility 10 to Customer 3: 20.22
Facility 10 to Customer 4: 64.26
Facility 10 to Customer 5: 73.39
Facility 10 to Customer 6: 42.80
Facility 10 to Customer 7: 70.86
Facility 10 to Customer 8: 25.50
Facility 10 to Customer 9: 78.64
Facility 10 to Customer 10: 37.20
Facility 10 to Customer 11: 53.26
Facility 10 to Customer 12: 39.05
Facility 10 to Customer 13: 51.16
Facility 11 to Customer 0: 57.97
Facility 11 to Customer 1: 52.95
Facility 11 to Customer 2: 86.01
Facility 11 to Customer 3: 84.20
Facility 11 to Customer 4: 26.91
Facility 11 to Customer 5: 68.59
Facility 11 to Customer 6: 47.17
Facility 11 to Customer 7: 32.98
Facility 11 to Customer 8: 107.30
Facility 11 to Customer 9: 21.02
Facility 11 to Customer 10: 80.80
Facility 11 to Customer 11: 85.43
Facility 11 to Customer 12: 118.87
Facility 11 to Customer 13: 47.43
Facility 12 to Customer 0: 67.68
Facility 12 to Customer 1: 46.01
Facility 12 to Customer 2: 78.89
Facility 12 to Customer 3: 65.52
Facility 12 to Customer 4: 21.00
Facility 12 to Customer 5: 28.46
Facility 12 to Customer 6: 35.38
Facility 12 to Customer 7: 13.45
Facility 12 to Customer 8: 70.38
Facility 12 to Customer 9: 50.01
Facility 12 to Customer 10: 38.42
Facility 12 to Customer 11: 40.71
Facility 12 to Customer 12: 79.76
Facility 12 to Customer 13: 9.22
Drone operational costs (S-type drones):
Facility 0 to Customer 0: 20
Facility 0 to Customer 1: 10
Facility 0 to Customer 2: 7
Facility 0 to Customer 3: 6
Facility 0 to Customer 4: 24
Facility 0 to Customer 5: 9
Facility 0 to Customer 6: 15
Facility 0 to Customer 7: 7
Facility 0 to Customer 8: 7
Facility 0 to Customer 9: 9
Facility 0 to Customer 10: 15
Facility 0 to Customer 11: 7
Facility 0 to Customer 12: 17
Facility 0 to Customer 13: 12
Facility 1 to Customer 0: 24
Facility 1 to Customer 1: 14
Facility 1 to Customer 2: 6
Facility 1 to Customer 3: 8
Facility 1 to Customer 4: 22
Facility 1 to Customer 5: 23
Facility 1 to Customer 6: 8
Facility 1 to Customer 7: 24
Facility 1 to Customer 8: 13
Facility 1 to Customer 9: 20
Facility 1 to Customer 10: 10
Facility 1 to Customer 11: 8
Facility 1 to Customer 12: 13
Facility 1 to Customer 13: 17
Facility 2 to Customer 0: 13
Facility 2 to Customer 1: 10
Facility 2 to Customer 2: 23
Facility 2 to Customer 3: 18
Facility 2 to Customer 4: 19
Facility 2 to Customer 5: 7
Facility 2 to Customer 6: 9
Facility 2 to Customer 7: 22
Facility 2 to Customer 8: 18
Facility 2 to Customer 9: 20
Facility 2 to Customer 10: 18
Facility 2 to Customer 11: 13
Facility 2 to Customer 12: 19
Facility 2 to Customer 13: 11
Facility 3 to Customer 0: 18
Facility 3 to Customer 1: 10
Facility 3 to Customer 2: 19
Facility 3 to Customer 3: 24
Facility 3 to Customer 4: 12
Facility 3 to Customer 5: 6
Facility 3 to Customer 6: 12
Facility 3 to Customer 7: 5
Facility 3 to Customer 8: 21
Facility 3 to Customer 9: 23
Facility 3 to Customer 10: 9
Facility 3 to Customer 11: 24
Facility 3 to Customer 12: 20
Facility 3 to Customer 13: 11
Facility 4 to Customer 0: 11
Facility 4 to Customer 1: 22
Facility 4 to Customer 2: 22
Facility 4 to Customer 3: 6
Facility 4 to Customer 4: 19
Facility 4 to Customer 5: 18
Facility 4 to Customer 6: 22
Facility 4 to Customer 7: 13
Facility 4 to Customer 8: 18
Facility 4 to Customer 9: 9
Facility 4 to Customer 10: 15
Facility 4 to Customer 11: 12
Facility 4 to Customer 12: 9
Facility 4 to Customer 13: 15
Facility 5 to Customer 0: 9
Facility 5 to Customer 1: 21
Facility 5 to Customer 2: 8
Facility 5 to Customer 3: 19
Facility 5 to Customer 4: 23
Facility 5 to Customer 5: 6
Facility 5 to Customer 6: 21
Facility 5 to Customer 7: 16
Facility 5 to Customer 8: 21
Facility 5 to Customer 9: 14
Facility 5 to Customer 10: 22
Facility 5 to Customer 11: 23
Facility 5 to Customer 12: 22
Facility 5 to Customer 13: 17
