Facility Location Problem Instance
Number of facilities: 7
Number of customers: 8
Grid size: 100x100
Facilities coordinates (x, y):
34, 27
42, 23
4, 32
41, 21
0, 26
31, 6
27, 23
Customers coordinates (x, y):
40, 29
45, 9
27, 11
46, 33
41, 17
39, 34
49, 30
29, 27
Distances between facilities and customers:
Facility 0 to Customer 0: 6.32
Facility 0 to Customer 1: 21.10
Facility 0 to Customer 2: 17.46
Facility 0 to Customer 3: 13.42
Facility 0 to Customer 4: 12.21
Facility 0 to Customer 5: 8.60
Facility 0 to Customer 6: 15.30
Facility 0 to Customer 7: 5.00
Facility 1 to Customer 0: 6.32
Facility 1 to Customer 1: 14.32
Facility 1 to Customer 2: 19.21
Facility 1 to Customer 3: 10.77
Facility 1 to Customer 4: 6.08
Facility 1 to Customer 5: 11.40
Facility 1 to Customer 6: 9.90
Facility 1 to Customer 7: 13.60
Facility 2 to Customer 0: 36.12
Facility 2 to Customer 1: 47.01
Facility 2 to Customer 2: 31.14
Facility 2 to Customer 3: 42.01
Facility 2 to Customer 4: 39.92
Facility 2 to Customer 5: 35.06
Facility 2 to Customer 6: 45.04
Facility 2 to Customer 7: 25.50
Facility 3 to Customer 0: 8.06
Facility 3 to Customer 1: 12.65
Facility 3 to Customer 2: 17.20
Facility 3 to Customer 3: 13.00
Facility 3 to Customer 4: 4.00
Facility 3 to Customer 5: 13.15
Facility 3 to Customer 6: 12.04
Facility 3 to Customer 7: 13.42
Facility 4 to Customer 0: 40.11
Facility 4 to Customer 1: 48.10
Facility 4 to Customer 2: 30.89
Facility 4 to Customer 3: 46.53
Facility 4 to Customer 4: 41.98
Facility 4 to Customer 5: 39.81
Facility 4 to Customer 6: 49.16
Facility 4 to Customer 7: 29.02
Facility 5 to Customer 0: 24.70
Facility 5 to Customer 1: 14.32
Facility 5 to Customer 2: 6.40
Facility 5 to Customer 3: 30.89
Facility 5 to Customer 4: 14.87
Facility 5 to Customer 5: 29.12
Facility 5 to Customer 6: 30.00
Facility 5 to Customer 7: 21.10
Facility 6 to Customer 0: 14.32
Facility 6 to Customer 1: 22.80
Facility 6 to Customer 2: 12.00
Facility 6 to Customer 3: 21.47
Facility 6 to Customer 4: 15.23
Facility 6 to Customer 5: 16.28
Facility 6 to Customer 6: 23.09
Facility 6 to Customer 7: 4.47
Drone operational costs (S-type drones):
Facility 0 to Customer 0: 19
Facility 0 to Customer 1: 17
Facility 0 to Customer 2: 13
Facility 0 to Customer 3: 13
Facility 0 to Customer 4: 19
Facility 0 to Customer 5: 14
Facility 0 to Customer 6: 14
Facility 0 to Customer 7: 12
Facility 1 to Customer 0: 20
Facility 1 to Customer 1: 21
Facility 1 to Customer 2: 9
Facility 1 to Customer 3: 8
Facility 1 to Customer 4: 22
Facility 1 to Customer 5: 23
Facility 1 to Customer 6: 8
Facility 1 to Customer 7: 11
Facility 2 to Customer 0: 14
Facility 2 to Customer 1: 22
Facility 2 to Customer 2: 23
Facility 2 to Customer 3: 8
Facility 2 to Customer 4: 14
Facility 2 to Customer 5: 5
Facility 2 to Customer 6: 22
Facility 2 to Customer 7: 9
Facility 3 to Customer 0: 19
Facility 3 to Customer 1: 21
Facility 3 to Customer 2: 7
Facility 3 to Customer 3: 16
Facility 3 to Customer 4: 6
Facility 3 to Customer 5: 5
Facility 3 to Customer 6: 21
Facility 3 to Customer 7: 20
Facility 4 to Customer 0: 9
Facility 4 to Customer 1: 19
Facility 4 to Customer 2: 7
Facility 4 to Customer 3: 11
Facility 4 to Customer 4: 15
Facility 4 to Customer 5: 14
Facility 4 to Customer 6: 13
Facility 4 to Customer 7: 18
Facility 5 to Customer 0: 17
Facility 5 to Customer 1: 6
Facility 5 to Customer 2: 7
Facility 5 to Customer 3: 11
Facility 5 to Customer 4: 22
Facility 5 to Customer 5: 7
Facility 5 to Customer 6: 14
Facility 5 to Customer 7: 11
Facility 6 to Customer 0: 13
Facility 6 to Customer 1: 21
Facility 6 to Customer 2: 15
Facility 6 to Customer 3: 11
Facility 6 to Customer 4: 18
Facility 6 to Customer 5: 23
Facility 6 to Customer 6: 8
Facility 6 to Customer 7: 10
Drone operational costs (L-type drones):
Facility 0 to Customer 0: 19
Facility 0 to Customer 1: 16
Facility 0 to Customer 2: 22
Facility 0 to Customer 3: 23
Facility 0 to Customer 4: 13
Facility 0 to Customer 5: 17
Facility 0 to Customer 6: 14
Facility 0 to Customer 7: 10
Facility 1 to Customer 0: 13
Facility 1 to Customer 1: 12
Facility 1 to Customer 2: 18
Facility 1 to Customer 3: 17
Facility 1 to Customer 4: 10
Facility 1 to Customer 5: 15
Facility 1 to Customer 6: 18
Facility 1 to Customer 7: 16
Facility 2 to Customer 0: 13
Facility 2 to Customer 1: 22
Facility 2 to Customer 2: 26
Facility 2 to Customer 3: 11
Facility 2 to Customer 4: 14
Facility 2 to Customer 5: 21
Facility 2 to Customer 6: 30
Facility 2 to Customer 7: 17
Facility 3 to Customer 0: 15
Facility 3 to Customer 1: 17
Facility 3 to Customer 2: 27
Facility 3 to Customer 3: 12
Facility 3 to Customer 4: 31
Facility 3 to Customer 5: 21
Facility 3 to Customer 6: 12
Facility 3 to Customer 7: 31
Facility 4 to Customer 0: 15
Facility 4 to Customer 1: 11
Facility 4 to Customer 2: 32
Facility 4 to Customer 3: 21
Facility 4 to Customer 4: 11
Facility 4 to Customer 5: 15
Facility 4 to Customer 6: 26
Facility 4 to Customer 7: 12
Facility 5 to Customer 0: 11
Facility 5 to Customer 1: 32
Facility 5 to Customer 2: 29
Facility 5 to Customer 3: 17
Facility 5 to Customer 4: 31
Facility 5 to Customer 5: 21
Facility 5 to Customer 6: 13
Facility 5 to Customer 7: 14
Facility 6 to Customer 0: 22
Facility 6 to Customer 1: 24
Facility 6 to Customer 2: 34
Facility 6 to Customer 3: 32
Facility 6 to Customer 4: 25
Facility 6 to Customer 5: 19
Facility 6 to Customer 6: 34
Facility 6 to Customer 7: 32
Facility capacities:
Facility 0: 20
Facility 1: 16
Facility 2: 21
Facility 3: 20
Facility 4: 16
Facility 5: 12
Facility 6: 7
Small drone payload capacity: 18
Large drone payload capacity: 33
Small drone max range: 48
Large drone max range: 77
