Facility Location Problem Instance
Number of facilities: 8
Number of customers: 9
Grid size: 100x100
Facilities coordinates (x, y):
31, 55
34, 2
39, 4
15, 40
43, 58
18, 14
47, 5
27, 6
Customers coordinates (x, y):
48, 40
45, 55
6, 28
10, 44
19, 57
1, 2
20, 50
3, 18
22, 23
Distances between facilities and customers:
Facility 0 to Customer 0: 22.67
Facility 0 to Customer 1: 14.00
Facility 0 to Customer 2: 36.80
Facility 0 to Customer 3: 23.71
Facility 0 to Customer 4: 12.17
Facility 0 to Customer 5: 60.90
Facility 0 to Customer 6: 12.08
Facility 0 to Customer 7: 46.40
Facility 0 to Customer 8: 33.24
Facility 1 to Customer 0: 40.50
Facility 1 to Customer 1: 54.13
Facility 1 to Customer 2: 38.21
Facility 1 to Customer 3: 48.37
Facility 1 to Customer 4: 57.01
Facility 1 to Customer 5: 33.00
Facility 1 to Customer 6: 50.00
Facility 1 to Customer 7: 34.89
Facility 1 to Customer 8: 24.19
Facility 2 to Customer 0: 37.11
Facility 2 to Customer 1: 51.35
Facility 2 to Customer 2: 40.80
Facility 2 to Customer 3: 49.41
Facility 2 to Customer 4: 56.65
Facility 2 to Customer 5: 38.05
Facility 2 to Customer 6: 49.77
Facility 2 to Customer 7: 38.63
Facility 2 to Customer 8: 25.50
Facility 3 to Customer 0: 33.00
Facility 3 to Customer 1: 33.54
Facility 3 to Customer 2: 15.00
Facility 3 to Customer 3: 6.40
Facility 3 to Customer 4: 17.46
Facility 3 to Customer 5: 40.50
Facility 3 to Customer 6: 11.18
Facility 3 to Customer 7: 25.06
Facility 3 to Customer 8: 18.38
Facility 4 to Customer 0: 18.68
Facility 4 to Customer 1: 3.61
Facility 4 to Customer 2: 47.63
Facility 4 to Customer 3: 35.85
Facility 4 to Customer 4: 24.02
Facility 4 to Customer 5: 70.00
Facility 4 to Customer 6: 24.35
Facility 4 to Customer 7: 56.57
Facility 4 to Customer 8: 40.82
Facility 5 to Customer 0: 39.70
Facility 5 to Customer 1: 49.09
Facility 5 to Customer 2: 18.44
Facility 5 to Customer 3: 31.05
Facility 5 to Customer 4: 43.01
Facility 5 to Customer 5: 20.81
Facility 5 to Customer 6: 36.06
Facility 5 to Customer 7: 15.52
Facility 5 to Customer 8: 9.85
Facility 6 to Customer 0: 35.01
Facility 6 to Customer 1: 50.04
Facility 6 to Customer 2: 47.01
Facility 6 to Customer 3: 53.76
Facility 6 to Customer 4: 59.06
Facility 6 to Customer 5: 46.10
Facility 6 to Customer 6: 52.48
Facility 6 to Customer 7: 45.88
Facility 6 to Customer 8: 30.81
Facility 7 to Customer 0: 39.96
