Facility Location Problem Instance
Number of facilities: 9
Number of customers: 10
Grid size: 100x100
Facilities coordinates (x, y):
14, 44
55, 14
36, 62
39, 5
28, 50
7, 0
26, 38
27, 17
32, 37
Customers coordinates (x, y):
41, 15
0, 63
55, 22
16, 48
29, 64
45, 9
50, 5
55, 2
58, 9
40, 54
Distances between facilities and customers:
Facility 0 to Customer 0: 39.62
Facility 0 to Customer 1: 23.60
Facility 0 to Customer 2: 46.53
Facility 0 to Customer 3: 4.47
Facility 0 to Customer 4: 25.00
Facility 0 to Customer 5: 46.75
Facility 0 to Customer 6: 53.08
Facility 0 to Customer 7: 58.69
Facility 0 to Customer 8: 56.22
Facility 0 to Customer 9: 27.86
Facility 1 to Customer 0: 14.04
Facility 1 to Customer 1: 73.66
Facility 1 to Customer 2: 8.00
Facility 1 to Customer 3: 51.74
Facility 1 to Customer 4: 56.36
Facility 1 to Customer 5: 11.18
Facility 1 to Customer 6: 10.30
Facility 1 to Customer 7: 12.00
Facility 1 to Customer 8: 5.83
Facility 1 to Customer 9: 42.72
Facility 2 to Customer 0: 47.27
Facility 2 to Customer 1: 36.01
Facility 2 to Customer 2: 44.28
Facility 2 to Customer 3: 24.41
Facility 2 to Customer 4: 7.28
Facility 2 to Customer 5: 53.76
Facility 2 to Customer 6: 58.69
Facility 2 to Customer 7: 62.94
Facility 2 to Customer 8: 57.38
Facility 2 to Customer 9: 8.94
Facility 3 to Customer 0: 10.20
Facility 3 to Customer 1: 69.89
Facility 3 to Customer 2: 23.35
Facility 3 to Customer 3: 48.76
Facility 3 to Customer 4: 59.84
Facility 3 to Customer 5: 7.21
Facility 3 to Customer 6: 11.00
Facility 3 to Customer 7: 16.28
Facility 3 to Customer 8: 19.42
Facility 3 to Customer 9: 49.01
Facility 4 to Customer 0: 37.34
Facility 4 to Customer 1: 30.87
Facility 4 to Customer 2: 38.90
Facility 4 to Customer 3: 12.17
Facility 4 to Customer 4: 14.04
Facility 4 to Customer 5: 44.38
Facility 4 to Customer 6: 50.09
