Facility Location Problem Instance
Number of facilities: 10
Number of customers: 11
Grid size: 100x100
Facilities coordinates (x, y):
34, 10
54, 10
55, 23
69, 37
41, 13
10, 41
37, 39
57, 54
21, 56
44, 57
Customers coordinates (x, y):
5, 45
55, 35
7, 9
51, 46
65, 20
3, 18
56, 4
16, 8
30, 46
46, 49
72, 4
Distances between facilities and customers:
Facility 0 to Customer 0: 45.45
Facility 0 to Customer 1: 32.65
Facility 0 to Customer 2: 27.02
Facility 0 to Customer 3: 39.81
Facility 0 to Customer 4: 32.57
Facility 0 to Customer 5: 32.02
Facility 0 to Customer 6: 22.80
Facility 0 to Customer 7: 18.11
Facility 0 to Customer 8: 36.22
Facility 0 to Customer 9: 40.80
Facility 0 to Customer 10: 38.47
Facility 1 to Customer 0: 60.22
Facility 1 to Customer 1: 25.02
Facility 1 to Customer 2: 47.01
Facility 1 to Customer 3: 36.12
Facility 1 to Customer 4: 14.87
Facility 1 to Customer 5: 51.62
Facility 1 to Customer 6: 6.32
Facility 1 to Customer 7: 38.05
Facility 1 to Customer 8: 43.27
Facility 1 to Customer 9: 39.81
Facility 1 to Customer 10: 18.97
Facility 2 to Customer 0: 54.63
Facility 2 to Customer 1: 12.00
Facility 2 to Customer 2: 50.00
Facility 2 to Customer 3: 23.35
Facility 2 to Customer 4: 10.44
Facility 2 to Customer 5: 52.24
Facility 2 to Customer 6: 19.03
Facility 2 to Customer 7: 41.79
Facility 2 to Customer 8: 33.97
Facility 2 to Customer 9: 27.51
Facility 2 to Customer 10: 25.50
Facility 3 to Customer 0: 64.50
Facility 3 to Customer 1: 14.14
Facility 3 to Customer 2: 68.03
Facility 3 to Customer 3: 20.12
Facility 3 to Customer 4: 17.46
Facility 3 to Customer 5: 68.68
Facility 3 to Customer 6: 35.47
Facility 3 to Customer 7: 60.42
Facility 3 to Customer 8: 40.02
Facility 3 to Customer 9: 25.94
Facility 3 to Customer 10: 33.14
Facility 4 to Customer 0: 48.17
Facility 4 to Customer 1: 26.08
Facility 4 to Customer 2: 34.23
Facility 4 to Customer 3: 34.48
Facility 4 to Customer 4: 25.00
Facility 4 to Customer 5: 38.33
Facility 4 to Customer 6: 17.49
