Facility Location Problem Instance
Number of facilities: 11
Number of customers: 12
Grid size: 100x100
Facilities coordinates (x, y):
7, 70
64, 25
73, 68
19, 21
41, 66
56, 14
26, 74
62, 11
65, 57
7, 58
16, 65
Customers coordinates (x, y):
53, 58
72, 7
71, 59
39, 2
50, 32
0, 27
74, 9
5, 54
44, 8
69, 7
8, 60
4, 36
Distances between facilities and customers:
Facility 0 to Customer 0: 47.54
Facility 0 to Customer 1: 90.52
Facility 0 to Customer 2: 64.94
Facility 0 to Customer 3: 75.15
Facility 0 to Customer 4: 57.38
Facility 0 to Customer 5: 43.57
Facility 0 to Customer 6: 90.61
Facility 0 to Customer 7: 16.12
Facility 0 to Customer 8: 72.20
Facility 0 to Customer 9: 88.39
Facility 0 to Customer 10: 10.05
Facility 0 to Customer 11: 34.13
Facility 1 to Customer 0: 34.79
Facility 1 to Customer 1: 19.70
Facility 1 to Customer 2: 34.71
Facility 1 to Customer 3: 33.97
Facility 1 to Customer 4: 15.65
Facility 1 to Customer 5: 64.03
Facility 1 to Customer 6: 18.87
Facility 1 to Customer 7: 65.74
Facility 1 to Customer 8: 26.25
Facility 1 to Customer 9: 18.68
Facility 1 to Customer 10: 66.04
Facility 1 to Customer 11: 61.00
Facility 2 to Customer 0: 22.36
Facility 2 to Customer 1: 61.01
Facility 2 to Customer 2: 9.22
Facility 2 to Customer 3: 74.24
Facility 2 to Customer 4: 42.72
Facility 2 to Customer 5: 83.73
Facility 2 to Customer 6: 59.01
Facility 2 to Customer 7: 69.43
Facility 2 to Customer 8: 66.64
Facility 2 to Customer 9: 61.13
Facility 2 to Customer 10: 65.49
Facility 2 to Customer 11: 76.06
Facility 3 to Customer 0: 50.25
Facility 3 to Customer 1: 54.82
Facility 3 to Customer 2: 64.40
Facility 3 to Customer 3: 27.59
Facility 3 to Customer 4: 32.89
Facility 3 to Customer 5: 19.92
Facility 3 to Customer 6: 56.29
Facility 3 to Customer 7: 35.85
Facility 3 to Customer 8: 28.18
Facility 3 to Customer 9: 51.92
Facility 3 to Customer 10: 40.52
Facility 3 to Customer 11: 21.21
Facility 4 to Customer 0: 14.42
Facility 4 to Customer 1: 66.65
Facility 4 to Customer 2: 30.81
Facility 4 to Customer 3: 64.03
Facility 4 to Customer 4: 35.17
Facility 4 to Customer 5: 56.59
Facility 4 to Customer 6: 65.86
Facility 4 to Customer 7: 37.95
Facility 4 to Customer 8: 58.08
Facility 4 to Customer 9: 65.31
Facility 4 to Customer 10: 33.54
Facility 4 to Customer 11: 47.63
Facility 5 to Customer 0: 44.10
Facility 5 to Customer 1: 17.46
Facility 5 to Customer 2: 47.43
Facility 5 to Customer 3: 20.81
Facility 5 to Customer 4: 18.97
Facility 5 to Customer 5: 57.49
Facility 5 to Customer 6: 18.68
Facility 5 to Customer 7: 64.82
Facility 5 to Customer 8: 13.42
Facility 5 to Customer 9: 14.76
Facility 5 to Customer 10: 66.48
Facility 5 to Customer 11: 56.46
Facility 6 to Customer 0: 31.38
Facility 6 to Customer 1: 81.27
Facility 6 to Customer 2: 47.43
Facility 6 to Customer 3: 73.16
Facility 6 to Customer 4: 48.37
Facility 6 to Customer 5: 53.71
Facility 6 to Customer 6: 80.80
Facility 6 to Customer 7: 29.00
Facility 6 to Customer 8: 68.41
Facility 6 to Customer 9: 79.61
Facility 6 to Customer 10: 22.80
Facility 6 to Customer 11: 43.91
Facility 7 to Customer 0: 47.85
Facility 7 to Customer 1: 10.77
Facility 7 to Customer 2: 48.84
Facility 7 to Customer 3: 24.70
Facility 7 to Customer 4: 24.19
Facility 7 to Customer 5: 64.03
Facility 7 to Customer 6: 12.17
Facility 7 to Customer 7: 71.40
Facility 7 to Customer 8: 18.25
Facility 7 to Customer 9: 8.06
Facility 7 to Customer 10: 72.92
Facility 7 to Customer 11: 63.16
Facility 8 to Customer 0: 12.04
Facility 8 to Customer 1: 50.49
Facility 8 to Customer 2: 6.32
Facility 8 to Customer 3: 60.84
Facility 8 to Customer 4: 29.15
Facility 8 to Customer 5: 71.59
Facility 8 to Customer 6: 48.84
Facility 8 to Customer 7: 60.07
Facility 8 to Customer 8: 53.31
Facility 8 to Customer 9: 50.16
Facility 8 to Customer 10: 57.08
Facility 8 to Customer 11: 64.51
Facility 9 to Customer 0: 46.00
Facility 9 to Customer 1: 82.62
Facility 9 to Customer 2: 64.01
Facility 9 to Customer 3: 64.50
Facility 9 to Customer 4: 50.25
Facility 9 to Customer 5: 31.78
Facility 9 to Customer 6: 83.01
Facility 9 to Customer 7: 4.47
Facility 9 to Customer 8: 62.20
Facility 9 to Customer 9: 80.28
Facility 9 to Customer 10: 2.24
Facility 9 to Customer 11: 22.20
Facility 10 to Customer 0: 37.66
Facility 10 to Customer 1: 80.62
Facility 10 to Customer 2: 55.33
Facility 10 to Customer 3: 67.07
Facility 10 to Customer 4: 47.38
Facility 10 to Customer 5: 41.23
Facility 10 to Customer 6: 80.62
Facility 10 to Customer 7: 15.56
Facility 10 to Customer 8: 63.51
Facility 10 to Customer 9: 78.57
Facility 10 to Customer 10: 9.43
Facility 10 to Customer 11: 31.38
Drone operational costs (S-type drones):
Facility 0 to Customer 0: 17
Facility 0 to Customer 1: 5
Facility 0 to Customer 2: 5
Facility 0 to Customer 3: 19
Facility 0 to Customer 4: 5
Facility 0 to Customer 5: 10
Facility 0 to Customer 6: 17
Facility 0 to Customer 7: 5
Facility 0 to Customer 8: 9
Facility 0 to Customer 9: 13
Facility 0 to Customer 10: 21
Facility 0 to Customer 11: 20
Facility 1 to Customer 0: 12
Facility 1 to Customer 1: 21
Facility 1 to Customer 2: 19
Facility 1 to Customer 3: 5
Facility 1 to Customer 4: 16
Facility 1 to Customer 5: 9
Facility 1 to Customer 6: 10
Facility 1 to Customer 7: 5
Facility 1 to Customer 8: 5
Facility 1 to Customer 9: 14
Facility 1 to Customer 10: 14
Facility 1 to Customer 11: 7
Facility 2 to Customer 0: 21
Facility 2 to Customer 1: 23
Facility 2 to Customer 2: 15
Facility 2 to Customer 3: 22
Facility 2 to Customer 4: 6
Facility 2 to Customer 5: 13
Facility 2 to Customer 6: 21
Facility 2 to Customer 7: 18
Facility 2 to Customer 8: 8
Facility 2 to Customer 9: 21
Facility 2 to Customer 10: 21
Facility 2 to Customer 11: 16
Facility 3 to Customer 0: 24
Facility 3 to Customer 1: 22
Facility 3 to Customer 2: 7
Facility 3 to Customer 3: 15
Facility 3 to Customer 4: 22
Facility 3 to Customer 5: 8
Facility 3 to Customer 6: 21
Facility 3 to Customer 7: 22
Facility 3 to Customer 8: 9
Facility 3 to Customer 9: 18
Facility 3 to Customer 10: 14
Facility 3 to Customer 11: 19
Facility 4 to Customer 0: 5
Facility 4 to Customer 1: 20
Facility 4 to Customer 2: 15
Facility 4 to Customer 3: 24
Facility 4 to Customer 4: 10
Facility 4 to Customer 5: 20
Facility 4 to Customer 6: 6
Facility 4 to Customer 7: 5
Facility 4 to Customer 8: 13
Facility 4 to Customer 9: 16
Facility 4 to Customer 10: 21
Facility 4 to Customer 11: 19
Facility 5 to Customer 0: 23
Facility 5 to Customer 1: 14
Facility 5 to Customer 2: 16
Facility 5 to Customer 3: 18
Facility 5 to Customer 4: 13
Facility 5 to Customer 5: 17
Facility 5 to Customer 6: 7
Facility 5 to Customer 7: 18
Facility 5 to Customer 8: 14
Facility 5 to Customer 9: 20
Facility 5 to Customer 10: 11
Facility 5 to Customer 11: 8
Facility 6 to Customer 0: 24
Facility 6 to Customer 1: 15
Facility 6 to Customer 2: 20
Facility 6 to Customer 3: 24
Facility 6 to Customer 4: 8
Facility 6 to Customer 5: 21
Facility 6 to Customer 6: 17
Facility 6 to Customer 7: 15
Facility 6 to Customer 8: 7
Facility 6 to Customer 9: 13
Facility 6 to Customer 10: 10
Facility 6 to Customer 11: 15
Facility 7 to Customer 0: 20
Facility 7 to Customer 1: 23
Facility 7 to Customer 2: 9
Facility 7 to Customer 3: 18
Facility 7 to Customer 4: 21
Facility 7 to Customer 5: 7
Facility 7 to Customer 6: 8
Facility 7 to Customer 7: 20
Facility 7 to Customer 8: 20
Facility 7 to Customer 9: 8
Facility 7 to Customer 10: 23
Facility 7 to Customer 11: 21
Facility 8 to Customer 0: 17
Facility 8 to Customer 1: 5
Facility 8 to Customer 2: 16
Facility 8 to Customer 3: 8
Facility 8 to Customer 4: 15
Facility 8 to Customer 5: 9
Facility 8 to Customer 6: 6
Facility 8 to Customer 7: 21
Facility 8 to Customer 8: 12
Facility 8 to Customer 9: 10
Facility 8 to Customer 10: 13
Facility 8 to Customer 11: 17
Facility 9 to Customer 0: 15
Facility 9 to Customer 1: 20
Facility 9 to Customer 2: 20
Facility 9 to Customer 3: 6
Facility 9 to Customer 4: 14
Facility 9 to Customer 5: 16
Facility 9 to Customer 6: 12
Facility 9 to Customer 7: 15
Facility 9 to Customer 8: 14
Facility 9 to Customer 9: 17
Facility 9 to Customer 10: 21
Facility 9 to Customer 11: 11
Facility 10 to Customer 0: 7
Facility 10 to Customer 1: 24
Facility 10 to Customer 2: 17
Facility 10 to Customer 3: 23
Facility 10 to Customer 4: 11
Facility 10 to Customer 5: 13
Facility 10 to Customer 6: 23
Facility 10 to Customer 7: 17
Facility 10 to Customer 8: 12
Facility 10 to Customer 9: 22
