Facility Location Problem Instance
Number of facilities: 12
Number of customers: 13
Grid size: 100x100
Facilities coordinates (x, y):
52, 86
63, 17
81, 38
30, 32
84, 19
54, 48
9, 57
76, 61
74, 51
68, 64
88, 53
69, 4
Customers coordinates (x, y):
46, 89
68, 76
81, 10
13, 31
84, 85
45, 21
82, 78
5, 72
82, 86
82, 51
42, 55
13, 1
12, 33
Distances between facilities and customers:
Facility 0 to Customer 0: 6.71
Facility 0 to Customer 1: 18.87
Facility 0 to Customer 2: 81.34
Facility 0 to Customer 3: 67.42
Facility 0 to Customer 4: 32.02
Facility 0 to Customer 5: 65.38
Facility 0 to Customer 6: 31.05
Facility 0 to Customer 7: 49.04
Facility 0 to Customer 8: 30.00
Facility 0 to Customer 9: 46.10
Facility 0 to Customer 10: 32.57
Facility 0 to Customer 11: 93.52
Facility 0 to Customer 12: 66.40
Facility 1 to Customer 0: 73.98
Facility 1 to Customer 1: 59.21
Facility 1 to Customer 2: 19.31
Facility 1 to Customer 3: 51.92
Facility 1 to Customer 4: 71.17
Facility 1 to Customer 5: 18.44
Facility 1 to Customer 6: 63.89
Facility 1 to Customer 7: 79.93
Facility 1 to Customer 8: 71.57
Facility 1 to Customer 9: 38.95
Facility 1 to Customer 10: 43.42
Facility 1 to Customer 11: 52.50
Facility 1 to Customer 12: 53.45
Facility 2 to Customer 0: 61.85
Facility 2 to Customer 1: 40.16
Facility 2 to Customer 2: 28.00
Facility 2 to Customer 3: 68.36
Facility 2 to Customer 4: 47.10
Facility 2 to Customer 5: 39.81
Facility 2 to Customer 6: 40.01
Facility 2 to Customer 7: 83.26
Facility 2 to Customer 8: 48.01
Facility 2 to Customer 9: 13.04
Facility 2 to Customer 10: 42.54
Facility 2 to Customer 11: 77.41
Facility 2 to Customer 12: 69.18
Facility 3 to Customer 0: 59.20
Facility 3 to Customer 1: 58.14
Facility 3 to Customer 2: 55.54
Facility 3 to Customer 3: 17.03
Facility 3 to Customer 4: 75.66
Facility 3 to Customer 5: 18.60
Facility 3 to Customer 6: 69.43
Facility 3 to Customer 7: 47.17
Facility 3 to Customer 8: 74.97
Facility 3 to Customer 9: 55.36
Facility 3 to Customer 10: 25.94
Facility 3 to Customer 11: 35.36
Facility 3 to Customer 12: 18.03
Facility 4 to Customer 0: 79.65
Facility 4 to Customer 1: 59.20
Facility 4 to Customer 2: 9.49
Facility 4 to Customer 3: 72.01
Facility 4 to Customer 4: 66.00
Facility 4 to Customer 5: 39.05
Facility 4 to Customer 6: 59.03
Facility 4 to Customer 7: 95.13
Facility 4 to Customer 8: 67.03
Facility 4 to Customer 9: 32.06
Facility 4 to Customer 10: 55.32
Facility 4 to Customer 11: 73.25
Facility 4 to Customer 12: 73.35
Facility 5 to Customer 0: 41.77
Facility 5 to Customer 1: 31.30
Facility 5 to Customer 2: 46.62
Facility 5 to Customer 3: 44.38
Facility 5 to Customer 4: 47.63
Facility 5 to Customer 5: 28.46
Facility 5 to Customer 6: 41.04
Facility 5 to Customer 7: 54.56
Facility 5 to Customer 8: 47.20
Facility 5 to Customer 9: 28.16
Facility 5 to Customer 10: 13.89
Facility 5 to Customer 11: 62.37
Facility 5 to Customer 12: 44.60
Facility 6 to Customer 0: 48.92
Facility 6 to Customer 1: 61.98
Facility 6 to Customer 2: 85.98
Facility 6 to Customer 3: 26.31
Facility 6 to Customer 4: 80.06
Facility 6 to Customer 5: 50.91
Facility 6 to Customer 6: 75.96
Facility 6 to Customer 7: 15.52
Facility 6 to Customer 8: 78.55
Facility 6 to Customer 9: 73.25
Facility 6 to Customer 10: 33.06
Facility 6 to Customer 11: 56.14
Facility 6 to Customer 12: 24.19
Facility 7 to Customer 0: 41.04
Facility 7 to Customer 1: 17.00
Facility 7 to Customer 2: 51.24
Facility 7 to Customer 3: 69.78
Facility 7 to Customer 4: 25.30
Facility 7 to Customer 5: 50.61
Facility 7 to Customer 6: 18.03
Facility 7 to Customer 7: 71.85
Facility 7 to Customer 8: 25.71
Facility 7 to Customer 9: 11.66
Facility 7 to Customer 10: 34.53
Facility 7 to Customer 11: 87.00
Facility 7 to Customer 12: 69.86
Facility 8 to Customer 0: 47.20
Facility 8 to Customer 1: 25.71
Facility 8 to Customer 2: 41.59
Facility 8 to Customer 3: 64.20
Facility 8 to Customer 4: 35.44
Facility 8 to Customer 5: 41.73
Facility 8 to Customer 6: 28.16
Facility 8 to Customer 7: 72.12
Facility 8 to Customer 8: 35.90
Facility 8 to Customer 9: 8.00
Facility 8 to Customer 10: 32.25
Facility 8 to Customer 11: 78.87
Facility 8 to Customer 12: 64.56
Facility 9 to Customer 0: 33.30
Facility 9 to Customer 1: 12.00
Facility 9 to Customer 2: 55.54
Facility 9 to Customer 3: 64.14
Facility 9 to Customer 4: 26.40
Facility 9 to Customer 5: 48.76
Facility 9 to Customer 6: 19.80
Facility 9 to Customer 7: 63.51
Facility 9 to Customer 8: 26.08
Facility 9 to Customer 9: 19.10
Facility 9 to Customer 10: 27.51
Facility 9 to Customer 11: 83.63
Facility 9 to Customer 12: 64.01
Facility 10 to Customer 0: 55.32
Facility 10 to Customer 1: 30.48
Facility 10 to Customer 2: 43.57
Facility 10 to Customer 3: 78.16
Facility 10 to Customer 4: 32.25
Facility 10 to Customer 5: 53.60
Facility 10 to Customer 6: 25.71
Facility 10 to Customer 7: 85.15
Facility 10 to Customer 8: 33.54
Facility 10 to Customer 9: 6.32
Facility 10 to Customer 10: 46.04
Facility 10 to Customer 11: 91.26
Facility 10 to Customer 12: 78.59
Facility 11 to Customer 0: 88.06
Facility 11 to Customer 1: 72.01
Facility 11 to Customer 2: 13.42
Facility 11 to Customer 3: 62.17
Facility 11 to Customer 4: 82.38
Facility 11 to Customer 5: 29.41
Facility 11 to Customer 6: 75.13
Facility 11 to Customer 7: 93.38
Facility 11 to Customer 8: 83.02
Facility 11 to Customer 9: 48.76
Facility 11 to Customer 10: 57.71
Facility 11 to Customer 11: 56.08
Facility 11 to Customer 12: 63.95
Drone operational costs (S-type drones):
Facility 0 to Customer 0: 11
Facility 0 to Customer 1: 15
Facility 0 to Customer 2: 15
Facility 0 to Customer 3: 21
Facility 0 to Customer 4: 20
Facility 0 to Customer 5: 17
Facility 0 to Customer 6: 9
Facility 0 to Customer 7: 24
Facility 0 to Customer 8: 20
Facility 0 to Customer 9: 20
Facility 0 to Customer 10: 20
Facility 0 to Customer 11: 18
Facility 0 to Customer 12: 10
Facility 1 to Customer 0: 6
Facility 1 to Customer 1: 18
Facility 1 to Customer 2: 20
Facility 1 to Customer 3: 24
Facility 1 to Customer 4: 17
Facility 1 to Customer 5: 19
Facility 1 to Customer 6: 16
Facility 1 to Customer 7: 13
Facility 1 to Customer 8: 22
